#,Player,SP,MP,MS,PTS,PTS/S,Attack,Attack,Attack,Attack,Attack,Set,Set,Serve,Serve,Serve,Bio Link
#,Player,SP,MP,MS,PTS,PTS/S,K,K/S,E,TA,PCT,A,A/S,SA,SA/S,SE,Bio Link
3.0,"Litke, Sidney 3 Litke, Sidney",3,2,0.0,0.0,0.0,0,0.0,1,2,-0.5,0,0.0,0,0.0,0,View Bio
4.0,"McClendon, Sydney 4McClendon, Sydney",22,9,0.0,6.0,0.27,0,0.0,3,13,-0.231,11,0.5,6,0.27,9,View Bio
6.0,"Friedman, Emily 6Friedman, Emily",34,10,4.0,63.0,1.85,52,1.53,37,217,0.069,2,0.06,8,0.24,7,View Bio
7.0,"Giles, Margaret 7 Giles, Margaret",35,10,6.0,41.0,1.17,26,0.74,10,125,0.128,261,7.46,4,0.11,5,View Bio
8.0,"Lepito, Ariel 8Lepito, Ariel",30,10,3.0,55.5,1.85,47,1.57,35,192,0.063,1,0.03,0,0.0,0,View Bio
9.0,"Vrecenar, Sydney 9 Vrecenar, Sydney",29,9,1.0,23.0,0.79,16,0.55,17,91,-0.011,8,0.28,7,0.24,7,View Bio
13.0,"Weidman, Evelyn 13Weidman, Evelyn",29,9,5.0,79.0,2.72,62,2.14,22,168,0.238,1,0.03,4,0.14,6,View Bio
14.0,"Garringer, Sarah 14Garringer, Sarah",16,6,1.0,26.5,1.66,23,1.44,10,84,0.155,0,0.0,0,0.0,1,
16.0,"Joy, Jennifer 16Joy, Jennifer",28,10,2.0,9.0,0.32,3,0.11,3,29,0.0,7,0.25,6,0.21,8,View Bio
19.0,"Bull, Ashleigh 19Bull, Ashleigh",2,2,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,View Bio
20.0,"Fromm, Olivia 20Fromm, Olivia",34,10,5.0,84.0,2.47,67,1.97,53,268,0.052,3,0.09,10,0.29,9,View Bio
22.0,"Taylor, Deanna 22 Taylor, Deanna",26,9,3.0,1.0,0.04,0,0.0,1,5,-0.2,1,0.04,1,0.04,6,View Bio
23.0,"Willhardt, Emma 23 Willhardt, Emma",29,8,6.0,57.0,1.97,40,1.38,9,137,0.226,0,0.0,0,0.0,0,View Bio
24.0,"Hood, Christine 24Hood, Christine",31,10,0.0,5.0,0.16,1,0.03,3,10,-0.2,7,0.23,4,0.13,6,View Bio
,Total,35,10,,450.0,12.86,337,9.63,204,1341,0.099,303,8.66,50,1.43,64,
,Opponents,35,10,,587.0,16.77,469,13.4,215,1374,0.185,444,12.69,66,1.89,62,
