#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,SET,SET,SERVE,SERVE,SERVE,Bio Link
#,Player,SP,MP,MS,PTS,PTS/S,K,K/S,E,TA,PCT,A,A/S,SA,SA/S,SE,Bio Link
3.0,"Litke, Sidney 3 Litke, Sidney",7,4,0.0,7.0,1.0,4,0.57,1,12,0.25,0,0.0,3,0.43,3,View Bio
4.0,"McClendon, Sydney 4McClendon, Sydney",49,19,2.0,14.0,0.29,2,0.04,6,27,-0.148,19,0.39,12,0.24,21,View Bio
6.0,"Friedman, Emily 6Friedman, Emily",62,19,7.0,106.0,1.71,89,1.44,69,391,0.051,5,0.08,10,0.16,9,View Bio
7.0,"Giles, Margaret 7 Giles, Margaret",70,20,12.0,74.5,1.06,50,0.71,21,221,0.131,478,6.83,8,0.11,13,View Bio
8.0,"Lepito, Ariel 8Lepito, Ariel",51,18,5.0,97.5,1.91,80,1.57,66,324,0.043,1,0.02,1,0.02,0,View Bio
9.0,"Vrecenar, Sydney 9 Vrecenar, Sydney",64,20,3.0,42.0,0.66,28,0.44,31,181,-0.017,37,0.58,14,0.22,21,View Bio
13.0,"Weidman, Evelyn 13Weidman, Evelyn",67,20,10.0,143.5,2.14,112,1.67,54,385,0.151,3,0.04,10,0.15,9,View Bio
14.0,"Garringer, Sarah 14Garringer, Sarah",32,12,2.0,50.0,1.56,46,1.44,26,197,0.102,0,0.0,0,0.0,3,
16.0,"Joy, Jennifer 16Joy, Jennifer",56,20,3.0,22.0,0.39,6,0.11,7,43,-0.023,16,0.29,16,0.29,18,View Bio
18.0,"Hill, Nora 18Hill, Nora",3,2,1.0,0.0,0.0,0,0.0,0,6,0.0,0,0.0,0,0.0,0,View Bio
19.0,"Bull, Ashleigh 19Bull, Ashleigh",2,2,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,View Bio
20.0,"Fromm, Olivia 20Fromm, Olivia",71,21,10.0,186.5,2.63,151,2.13,89,533,0.116,6,0.08,15,0.21,22,View Bio
21.0,"Rasmussen, Rebecca 21Rasmussen, Rebecca",4,2,1.0,2.0,0.5,2,0.5,5,12,-0.25,0,0.0,0,0.0,0,View Bio
22.0,"Taylor, Deanna 22 Taylor, Deanna",44,18,4.0,4.0,0.09,1,0.02,1,7,0.0,1,0.02,3,0.07,7,View Bio
23.0,"Willhardt, Emma 23 Willhardt, Emma",67,19,12.0,122.0,1.82,80,1.19,30,279,0.179,3,0.04,2,0.03,0,View Bio
24.0,"Hood, Christine 24Hood, Christine",58,21,0.0,5.0,0.09,1,0.02,5,18,-0.222,8,0.14,4,0.07,11,View Bio
,Total,73,21,,876.0,12.0,652,8.93,411,2636,0.091,578,7.92,98,1.34,137,
,Opponents,73,21,,1192.0,16.33,939,12.86,415,2676,0.196,885,12.12,136,1.86,144,
