Date,Opponent,W/L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS
9/01/2015,Loras College,L,3,17,22,97,-0.052,16,4,4,6,42,1,8,0,5.0,2,26.0
9/09/2015,Simpson College,L,3,20,21,98,-0.01,20,4,5,8,43,2,8,0,6.0,0,30.0
9/11/2015,vs Carleton,L,3,19,16,102,0.029,15,1,9,8,40,1,12,0,7.0,0,27.0
9/11/2015,vs Luther,L,3,18,22,102,-0.039,14,2,4,8,43,1,4,2,3.0,3,23.0
9/13/2015,at Macalester,L,3,29,20,131,0.069,27,2,5,6,62,4,4,2,6.0,0,37.0
9/13/2015,vs St. Olaf,L,4,42,23,169,0.112,39,7,5,7,71,3,2,1,4.0,4,53.0
9/17/2015,Central College,L,5,38,32,155,0.039,36,5,6,9,76,4,12,0,10.0,1,53.0
9/19/2015,at Illinois Wesleyan,L,3,19,16,105,0.029,18,2,2,11,46,2,2,5,3.0,2,24.0
9/19/2015,vs Aurora University,L,3,21,9,96,0.125,17,5,5,6,46,1,12,1,7.0,3,33.0
9/25/2015,at Lawrence University,L,4,31,17,123,0.114,28,6,3,10,48,3,12,0,9.0,3,46.0
9/26/2015,at St. Norbert College,L,3,20,16,91,0.044,19,4,5,8,39,0,14,1,7.0,1,31.0
9/30/2015,at Cornell College,L,3,17,22,97,-0.052,17,2,3,6,38,1,2,0,2.0,0,21.0
10/03/2015,Knox College,L,4,55,20,177,0.198,50,5,7,8,83,4,8,0,8.0,6,68.0
10/09/2015,Carroll University,L,3,30,16,116,0.121,27,4,5,7,57,3,4,0,5.0,2,39.0
10/10/2015,Ripon College,L,3,28,24,135,0.03,25,4,7,2,49,1,8,0,5.0,3,37.0
10/16/2015,at Lake Forest College,L,3,25,19,106,0.057,25,2,6,6,46,1,8,2,5.0,2,32.0
10/17/2015,at Beloit College,W,4,42,19,154,0.149,32,8,10,11,75,3,6,0,6.0,3,56.0
10/24/2015,vs Centenary,W,3,37,4,65,0.508,28,12,13,1,23,2,4,1,4.0,0,53.0
10/24/2015,at Hunter College,L,5,55,22,175,0.189,45,4,15,5,69,4,8,1,8.0,4,67.0
10/30/2015,Monmouth College,L,3,37,25,118,0.102,33,3,9,6,55,3,4,0,5.0,4,45.0
10/31/2015,at Illinois College,L,5,52,26,224,0.116,47,12,9,2,120,6,10,0,11.0,0,75.0
,Grinnell College,,73,652,411,2636,0.091,578,98,137,141,1171,50,152,16,126.0,43,876.0
,Opponents,,73,939,415,2676,0.196,885,136,144,95,1418,26,182,20,117.0,43,1192.0
