Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Nguyen, Lynn",FR-1,13.71,2017 Dick Young Invitational,"Apr 22, 2017",0.2
,"Nguyen, Lynn",FR-1,13.75,2017 Dick Young Invitational,"Apr 22, 2017",0.6
,"McMillan, Autumn",FR-1,13.77,2017 Cornell Invite,"Apr 8, 2017",-0.4
,"Bambi, Simona",FR-1,13.94,2017 Dick Young Invitational,"Apr 22, 2017",-0.4
,"Nguyen, Lynn",FR-1,14.19,2017 Jim Duncan Invitational,"Apr 14, 2017",-3.0
,"Schmiechen, Alex",JR-3,14.2,2017 Dick Young Invitational,"Apr 22, 2017",0.6
,"Nguyen, Lynn",FR-1,14.23,2017 Kip Janvrin Open,"Apr 27, 2017",1.8
,"Bambi, Simona",FR-1,14.25,2017 Dick Young Invitational,"Apr 22, 2017",0.2
,"Alvarez, Valencia",FR-1,14.28,2017 Dick Young Invitational,"Apr 22, 2017",-0.4
,"Schmiechen, Alex",JR-3,14.55,2017 Cornell Invite,"Apr 8, 2017",0.4
,"Alvarez, Valencia",FR-1,14.63,Embry-Riddle Spike's Classic (Collegiate),"Mar 31, 2017",1.8
,"Schmiechen, Alex",JR-3,14.68,2017 Dick Young Invitational,"Apr 22, 2017",0.2
,"Alvarez, Valencia",FR-1,15.05,2017 Jim Duncan Invitational,"Apr 14, 2017",-2.7
,"Bambi, Simona",FR-1,15.06,2017 Jim Duncan Invitational,"Apr 14, 2017",-2.7
,"Acker, Lauren",FR-1,15.28,2017 Cornell Invite,"Apr 8, 2017",0.4
,"Acker, Lauren",FR-1,15.53,2017 Dick Young Invitational,"Apr 22, 2017",0.6
,"Acker, Lauren",FR-1,15.66,2017 Kip Janvrin Open,"Apr 27, 2017",0.7
,"Tombou, Kadiata",SO-2,15.73,2017 Kip Janvrin Open,"Apr 27, 2017",0.7
,"McCusker, Katie Lou",FR-1,15.75,2017 Dick Young Invitational,"Apr 22, 2017",-0.4
