Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Peckham, Carolyn",SR-4,3.10m,"10' 2""",Midwest Conference Outdoor Championship,"May 12, 2017"
,"Peckham, Carolyn",SR-4,3.06m,"10' 0.5""",Monmouth Fighting Scots Outdoor,"May 6, 2017"
,"Peckham, Carolyn",SR-4,2.95m,"9' 8""",2017 Jim Duncan Invitational,"Apr 14, 2017"
,"Peckham, Carolyn",SR-4,2.95m,"9' 8""",Midwest Conference Outdoor Championship,"May 12, 2017"
,"Peckham, Carolyn",SR-4,2.95m,"9' 8""",2017 Dick Young Invitational,"Apr 22, 2017"
,"Peckham, Carolyn",SR-4,2.91m,"9' 6.5""",Monmouth Fighting Scots Outdoor,"May 6, 2017"
,"Peckham, Carolyn",SR-4,2.80m,"9' 2.25""",2017 Jim Duncan Invitational,"Apr 14, 2017"
,"Peckham, Carolyn",SR-4,2.80m,"9' 2.25""",Midwest Conference Outdoor Championship,"May 12, 2017"
,"Peckham, Carolyn",SR-4,2.80m,"9' 2.25""",2017 Dick Young Invitational,"Apr 22, 2017"
,"Peckham, Carolyn",SR-4,2.76m,"9' 0.5""",Monmouth Fighting Scots Outdoor,"May 6, 2017"
,"Peckham, Carolyn",SR-4,2.75m,"9' 0.25""",Embry-Riddle Spike's Classic (Collegiate),"Mar 31, 2017"
,"LaVerdiere, Tori",FR-1,2.65m,"8' 8.25""",Midwest Conference Outdoor Championship,"May 12, 2017"
,"Peckham, Carolyn",SR-4,2.65m,"8' 8.25""",2017 Jim Duncan Invitational,"Apr 14, 2017"
,"LaVerdiere, Tori",FR-1,2.61m,"8' 6.75""",Monmouth Fighting Scots Outdoor,"May 6, 2017"
,"LaVerdiere, Tori",FR-1,2.60m,"8' 6.25""",Embry-Riddle Spike's Classic (Collegiate),"Mar 31, 2017"
,"LaVerdiere, Tori",FR-1,2.50m,"8' 2.5""",2017 Dick Young Invitational,"Apr 22, 2017"
,"LaVerdiere, Tori",FR-1,2.50m,"8' 2.5""",Midwest Conference Outdoor Championship,"May 12, 2017"
,"LaVerdiere, Tori",FR-1,2.46m,"8' 0.75""",Monmouth Fighting Scots Outdoor,"May 6, 2017"
,"LaVerdiere, Tori",FR-1,2.45m,"8' 0.5""",Embry-Riddle Spike's Classic (Collegiate),"Mar 31, 2017"
,"Bambi, Simona",FR-1,2.35m,"7' 8.5""",Midwest Conference Outdoor Championship,"May 12, 2017"
,"LaVerdiere, Tori",FR-1,2.30m,"7' 6.5""",Embry-Riddle Spike's Classic (Collegiate),"Mar 31, 2017"
,"Bambi, Simona",FR-1,2.20m,"7' 2.5""",Midwest Conference Outdoor Championship,"May 12, 2017"
,"Alvarez, Valencia",FR-1,2.05m,"6' 8.75""",Midwest Conference Outdoor Championship,"May 12, 2017"
,"Bambi, Simona",FR-1,2.05m,"6' 8.75""",Midwest Conference Outdoor Championship,"May 12, 2017"
