Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
9/1/2021,University of Dubuqu,1-0,90:00,0,0.0,5,1.0,1,0,0,1,8
9/7/2021,Coe,0-1,90:00,1,0.5,6,0.857,0,1,0,0,18
9/11/2021,Carleton,3-0,90:00,0,0.33,1,1.0,1,0,0,1,4
09/12/2021,Wis.-Oshkosh,1-0,90:00,0,0.25,3,1.0,1,0,0,1,13
09/15/2021,Simpson,5-2,90:00,2,0.6,3,0.6,1,0,0,0,9
9/18/2021,Luther College,1-0,90:00,0,0.5,4,1.0,1,0,0,1,5
09/22/2021,Wis.-Whitewater,4-0,90:00,0,0.43,5,1.0,1,0,0,1,6
09/25/2021,Illinois Col.,0-8,90:00,8,1.38,16,0.667,0,1,0,0,31
09/28/2021,Knox,2-0,90:00,0,1.22,4,1.0,1,0,0,1,5
10/03/2021,Wartburg,3-0,90:00,0,1.1,0,0.0,1,0,0,1,1
10/05/2021,Cornell College,1-1,110:00,1,1.07,3,0.75,0,0,1,0,6
10/9/2021,Beloit,0-0,110:00,0,0.96,7,1.0,0,0,1,1,9
10/12/2021,Monmouth (IL),3-2,106:55,2,1.03,9,0.818,1,0,0,0,19
10/16/2021,Lawrence,1-0,90:00,0,0.96,8,1.0,1,0,0,1,11
10/19/2021,Macalester,2-0,90:00,0,0.9,4,1.0,1,0,0,1,7
10/23/2021,Ripon,0-4,90:00,4,1.08,14,0.778,0,1,0,0,35
10/30/2021,Lake Forest,2-0,90:00,0,1.02,10,1.0,1,0,0,1,18
Totals,,-,1586,18,1.02,102,0.85,12,3,2,11,205
Grinnell,,-,1586:55,29,1.64,104,0.782,3,12,2,3,220
