Date,Opponent,Score,G,A,Shots,On Goal,Corners,YC,RC
9/1/2021,at University of Dubuqu,0-1,0/1,0/1,8/15,5/10,2/6,0/0,0/0
9/7/2021,vs Coe,1-0,1/0,1/0,18/6,7/3,3/1,0/0,0/0
9/11/2021,at Carleton,0-3,0/3,0/2,4/24,1/15,2/2,0/0,0/0
09/12/2021,vs Wis.-Oshkosh,0-1,0/1,0/1,13/14,4/10,2/6,1/1,0/0
09/15/2021,vs Simpson,2-5,2/5,1/5,9/16,5/10,0/7,0/0,0/0
9/18/2021,at Luther College,0-1,0/1,0/0,5/16,4/6,3/6,0/0,0/0
09/22/2021,vs Wis.-Whitewater,0-4,0/4,0/2,6/16,5/9,1/6,0/0,0/0
09/25/2021,vs Illinois Col.,8-0,8/0,7/0,31/3,24/1,6/4,0/0,0/0
09/28/2021,at Knox,0-2,0/2,0/1,5/16,4/9,2/6,0/1,0/0
10/03/2021,vs Wartburg,0-3,0/3,0/2,1/22,0/16,2/9,0/0,0/0
10/05/2021,at Cornell College,1-1,1/1,0/1,6/9,4/7,3/2,0/0,0/0
10/9/2021,at Beloit,0-0,0/0,0/0,9/19,7/11,5/6,1/0,0/0
10/12/2021,vs Monmouth (IL),2-3,2/3,1/3,19/21,11/12,2/5,1/0,0/0
10/16/2021,vs Lawrence,0-1,0/1,0/0,11/7,8/4,1/2,0/0,0/0
10/19/2021,at Macalester,0-2,0/2,0/2,7/10,5/5,2/6,0/1,0/0
10/23/2021,vs Ripon,4-0,4/0,4/0,35/0,18/0,20/1,0/0,0/0
10/30/2021,at Lake Forest,0-2,0/2,0/1,18/7,10/6,5/3,0/1,0/0
Totals,,,18/29,14/21,205/221,122/134,61/78,3/4,0/0
