#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO/CBO,SF,Bio Link
1.0,"Arneson, Elinor 1Arneson, Elinor",7,7,315:00,4,1.14,21,0.84,1.0,3.0,0.0,0/2,41,View Bio
0.0,"Malicky, Hannah 0Malicky, Hannah",8,1,461:55,5,0.97,20,0.8,1.0,1.0,1.0,1/2,41,View Bio
,Total,8,-,776:55,9,1.04,41,0.82,2.0,4.0,1.0,3,82,
,Opponents,8,-,776:55,15,1.74,71,0.826,,,,4,134,
