#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO/CBO,SF,Bio Link
1.0,"Arneson, Elinor 1Arneson, Elinor",16,16,997:24,23,2.08,73,0.76,2.0,11.0,0.0,0/2,161,View Bio
0.0,"Malicky, Hannah 0Malicky, Hannah",12,1,589:31,6,0.92,30,0.833,1.0,1.0,1.0,1/2,59,View Bio
,Total,17,-,1586:55,29,1.64,103,0.78,3.0,12.0,1.0,3,220,
,Opponents,17,-,1586:55,18,1.02,102,0.85,,,,11,205,
