#,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC-RC,GW,PG-PA,Bio Link
24.0,"Bambi, Giada 24Bambi, Giada",16,15,1314,3,2,8,26,0.115,19,0.731,0-0,0,0-0,View Bio
9.0,"Nadalsky, Ali 9Nadalsky, Ali",16,5,781,3,1,7,15,0.2,9,0.6,0-0,0,0-0,View Bio
28.0,"Dalla Betta, Francesca 28Dalla Betta, Francesca",17,7,692,2,2,6,19,0.105,11,0.579,0-0,0,0-0,View Bio
3.0,"Dellinger, Madeleine 3Dellinger, Madeleine",15,12,626,2,1,5,10,0.2,6,0.6,0-0,1,0-0,View Bio
20.0,"March, Jane 20March, Jane",17,17,1415,2,1,5,11,0.182,7,0.636,0-0,0,0-0,View Bio
25.0,"Berk, Tali 25Berk, Tali",11,0,139,1,1,3,1,1.0,1,1.0,0-0,0,0-0,View Bio
18.0,"Engelhardt, Anna 18Engelhardt, Anna",17,16,1221,0,3,3,10,0.0,6,0.6,0-0,0,0-0,View Bio
21.0,"Komsthoeft, Reese 21Komsthoeft, Reese",17,14,1051,1,1,3,7,0.143,3,0.429,0-0,1,0-0,View Bio
8.0,"Duus, Carlie 8Duus, Carlie",16,6,534,1,0,2,13,0.077,9,0.692,1-0,0,1-1,View Bio
4.0,"Radakovich, Alyssa 4Radakovich, Alyssa",16,13,655,1,0,2,23,0.043,19,0.826,0-0,1,0-0,View Bio
32.0,"Thomas, Tori 32Thomas, Tori",2,0,17,1,0,2,1,1.0,1,1.0,0-0,0,0-0,View Bio
2.0,"Wehrman, Allison 2Wehrman, Allison",17,2,551,1,0,2,5,0.2,2,0.4,0-0,0,0-0,View Bio
17.0,"Nowak, Hope 17Nowak, Hope",17,17,1018,0,1,1,7,0.0,3,0.429,0-0,0,0-0,View Bio
14.0,"Sheehan-Klenk, Julia 14Sheehan-Klenk, Julia",17,1,636,0,1,1,8,0.0,6,0.75,0-0,0,0-0,View Bio
1.0,"Arneson, Elinor 1Arneson, Elinor",16,16,998,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
5.0,"Beltramo, Maddie 5Beltramo, Maddie",9,0,297,0,0,0,1,0.0,1,1.0,0-0,0,0-0,View Bio
19.0,"Carson, Katie 19Carson, Katie",3,0,23,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
23.0,"Chopra, Antarah 23Chopra, Antarah",17,16,1431,0,0,0,7,0.0,1,0.143,1-0,0,0-0,View Bio
11.0,"Ellingsberg, Lauren 11Ellingsberg, Lauren",9,1,185,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
12.0,"Hennager, Ella 12Hennager, Ella",7,0,89,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
22.0,"Kayim-yanko, Esme 22Kayim-yanko, Esme",3,1,121,0,0,0,4,0.0,1,0.25,0-0,0,0-0,
16.0,"Leahy, Tessa 16Leahy, Tessa",16,1,559,0,0,0,3,0.0,2,0.667,0-0,0,0-0,View Bio
0.0,"Malicky, Hannah 0Malicky, Hannah",12,1,589,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
10.0,"Moosman, Crys 10Moosman, Crys",11,3,226,0,0,0,6,0.0,2,0.333,0-0,0,0-0,View Bio
26.0,"Neal, Jaden 26Neal, Jaden",3,1,92,0,0,0,1,0.0,0,0.0,0-0,0,0-0,View Bio
15.0,"Paladino, Jill 15Paladino, Jill",1,0,21,0,0,0,1,0.0,1,1.0,0-0,0,0-0,View Bio
15.0,"Paladino, Jill 15Paladino, Jill",12,2,544,0,0,0,6,0.0,3,0.5,1-0,0,0-0,View Bio
6.0,"Reid, Samantha 6Reid, Samantha",15,7,454,0,0,0,4,0.0,2,0.5,0-0,0,0-0,View Bio
7.0,"Smith, Keiko 7Smith, Keiko",16,10,767,0,0,0,15,0.0,7,0.467,0-0,0,0-0,View Bio
33.0,"Staker, Sadie 33Staker, Sadie",1,0,2,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
31.0,"Sundaram, Gia 31Sundaram, Gia",9,3,405,0,0,0,1,0.0,0,0.0,0-0,0,0-0,View Bio
29.0,"Szalay, Megan 29Szalay, Megan",2,0,11,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
13.0,"Tanona, Maeve 13Tanona, Maeve",1,0,3,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
,Total,17,-,17467,18,14,50,205,0.088,122,0.595,3-0,3,1-1,
,Opponent,17,-,17462,29,21,79,221,0.131,134,0.606,4-0,12,1-2,
