Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
9/1/2021,at University of Dubuqu,0-1,0,0,0,8,0.0,5,0.625,0-0,0,0-0,991
9/7/2021,vs Coe,1-0,1,1,3,18,0.056,7,0.389,0-0,1,0-0,990
9/11/2021,at Carleton,0-3,0,0,0,4,0.0,1,0.25,0-0,0,0-0,995
09/12/2021,vs Wis.-Oshkosh,0-1,0,0,0,13,0.0,4,0.308,1-0,0,0-0,990
09/15/2021,vs Simpson,2-5,2,1,5,9,0.222,5,0.556,0-0,0,1-1,990
9/18/2021,at Luther College,0-1,0,0,0,5,0.0,4,0.8,0-0,0,0-0,1000
09/22/2021,vs Wis.-Whitewater,0-4,0,0,0,6,0.0,5,0.833,0-0,0,0-0,990
09/25/2021,vs Illinois Col.,8-0,8,7,23,31,0.258,24,0.774,0-0,1,0-0,990
09/28/2021,at Knox,0-2,0,0,0,5,0.0,4,0.8,0-0,0,0-0,990
10/03/2021,vs Wartburg,0-3,0,0,0,1,0.0,0,0.0,0-0,0,0-0,990
10/05/2021,at Cornell College,1-1,1,0,2,6,0.167,4,0.667,0-0,0,0-0,1210
10/9/2021,at Beloit,0-0,0,0,0,9,0.0,7,0.778,1-0,0,0-0,1212
10/12/2021,vs Monmouth (IL),2-3,2,1,5,19,0.105,11,0.579,1-0,0,0-0,1169
10/16/2021,vs Lawrence,0-1,0,0,0,11,0.0,8,0.727,0-0,0,0-0,990
10/19/2021,at Macalester,0-2,0,0,0,7,0.0,5,0.714,0-0,0,0-0,990
10/23/2021,vs Ripon,4-0,4,4,12,35,0.114,18,0.514,0-0,1,0-0,990
10/30/2021,at Lake Forest,0-2,0,0,0,18,0.0,10,0.556,0-0,0,0-0,990
Total,,18-29,18,14,50,205,0.088,122,0.595,3-0,3,1-1,17467
Opponent,,-,29,21,79,221,0.131,134,0.606,4-0,12,-,17462
