0,1,2
POINTS,23,Illinois Col. (09/25/2021)
GOALS,8,Illinois Col. (09/25/2021)
ASSISTS,7,Illinois Col. (09/25/2021)
SHOTS,35,Ripon (10/23/2021)
SHOTS ON GOAL,24,Illinois Col. (09/25/2021)
SAVES,12,Carleton (9/11/2021) Wartburg (10/03/2021)
FOULS,11,Wartburg (10/03/2021)
CORNER KICKS,20,Ripon (10/23/2021)
