Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist]
9/1/2021,at University of Dubuqu,L,0-1,"(0-1-0, 0-0-0)",0-0-0,162,
9/7/2021,vs Coe,W,1-0,(1-1),,72,"Komsthoeft, Reese (1) (Engelhardt, Anna)"
9/11/2021,at Carleton,L,0-3,(1-2-0),,147,
09/12/2021,vs Wis.-Oshkosh,L,0-1,"(1-2-0, 0-0-0)",0-0-0,46,
09/15/2021,vs Simpson,L,2-5,"(1-4-0, 0-0-0)",0-0-0,93,Giada Bambi (1) (Tali Berk)  Carlie Duus (0)
9/18/2021,at Luther College,L,0-1,(1-5),,98,
09/22/2021,vs Wis.-Whitewater,L,0-4,"(1-6-0, 0-0-0)",0-0-0,94,
09/25/2021,vs Illinois Col.,W,8-0,"(2-6-0, 1-0-0)",1-0-0,75,Madeleine Dellinger (2) (Anna Engelhardt)  Ali Nadalsky (1) Giada Bambi (2) (Madeleine Dellinger)  Madeleine Dellinger (2) (Anna Engelhardt)  Francesca Dalla Betta (1) (Ali Nadalsky)  Allison Wehrman (1) (Reese Komsthoeft)  Tali Berk (1) (Jane March)  Tori Thomas (1) (Julia Sheehan-Klenk)
09/28/2021,at Knox,L,0-2,"(2-7-0, 1-1-0)",1-1-0,40,
10/03/2021,vs Wartburg,L,0-3,"(2-8-0, 1-1-0)",1-1-0,195,
10/05/2021,at Cornell College,T,1-1,"(2-8-1, 1-1-1)",1-1-1,50,Ali Nadalsky (2)
10/9/2021,at Beloit,T,0-0,"(2-8-2, 1-1-2)",1-1-2,200,
10/12/2021,vs Monmouth (IL),L,2-3,"(2-9-2, 1-2-2)",1-2-2,103,Francesca Dalla Betta (2) (Giada Bambi)  Giada Bambi (3)
10/16/2021,vs Lawrence,L,0-1,"(2-10-2, 1-3-2)",1-3-2,64,
10/19/2021,at Macalester,L,0-2,"(2-11-2, 1-3-2)",1-3-2,287,
10/23/2021,vs Ripon,W,4-0,"(3-11-2, 2-3-2)",2-3-2,121,Alyssa Radakovich (1) (Francesca Dalla Betta)  Jane March (2) (Giada Bambi)  Ali Nadalsky (3) (Hope Nowak)  Jane March (2) (Francesca Dalla Betta)
10/30/2021,at Lake Forest,L,0-2,"(3-12-2, 2-4-2)",2-4-2,147,
