Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
9/1/2021,University of Dubuqu,0-1,90:00,1,1.0,9,0.9,0,1,0,0,14
9/7/2021,Coe,1-0,90:00,0,0.5,3,1.0,1,0,0,1,6
9/11/2021,Carleton,0-3,90:00,3,1.33,12,0.8,0,1,0,0,24
09/12/2021,Wis.-Oshkosh,0-1,90:00,1,1.25,9,0.9,0,1,0,0,14
09/15/2021,Simpson,2-5,90:00,5,2.0,5,0.5,0,1,0,0,16
9/18/2021,Luther College,0-1,90:00,1,1.83,5,0.833,0,1,0,0,16
09/22/2021,Wis.-Whitewater,0-4,90:00,4,2.14,5,0.556,0,1,0,0,16
09/25/2021,Illinois Col.,8-0,90:00,0,1.88,1,1.0,1,0,0,1,3
09/28/2021,Knox,0-2,90:00,2,1.89,7,0.778,0,1,0,0,16
10/03/2021,Wartburg,0-3,90:00,3,2.0,12,0.8,0,1,0,0,22
10/05/2021,Cornell College,1-1,110:00,1,1.87,6,0.857,0,0,1,0,9
10/9/2021,Beloit,0-0,110:00,0,1.69,11,1.0,0,0,1,1,19
10/12/2021,Monmouth (IL),2-3,106:55,3,1.76,9,0.75,0,1,0,0,21
10/16/2021,Lawrence,0-1,90:00,1,1.71,3,0.75,0,1,0,0,7
10/19/2021,Macalester,0-2,90:00,2,1.73,3,0.6,0,1,0,0,10
10/23/2021,Ripon,4-0,90:00,0,1.62,0,0.0,1,0,0,1,0
10/30/2021,Lake Forest,0-2,90:00,2,1.64,4,0.667,0,1,0,0,7
Totals,,-,1586,29,1.64,104,0.782,3,12,2,4,220
Opponent,,-,1586:55,18,1.02,102,0.85,12,3,2,11,205
