Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
9/1/2021,University of Dubuqu,1-0,1,1,3,15,0.067,10,0.667,0-0,1,0-0,992
9/7/2021,Coe,0-1,0,0,0,6,0.0,3,0.5,0-0,0,0-0,989
9/11/2021,Carleton,3-0,3,2,8,24,0.125,15,0.625,0-0,1,0-0,990
09/12/2021,Wis.-Oshkosh,1-0,1,1,3,14,0.071,10,0.714,1-0,1,0-1,990
09/15/2021,Simpson,5-2,5,5,15,16,0.313,10,0.625,0-0,1,0-0,990
9/18/2021,Luther College,1-0,1,0,2,16,0.063,6,0.375,0-0,1,0-0,999
09/22/2021,Wis.-Whitewater,4-0,4,2,10,16,0.25,9,0.563,0-0,1,0-0,990
09/25/2021,Illinois Col.,0-8,0,0,0,3,0.0,1,0.333,0-0,0,0-0,990
09/28/2021,Knox,2-0,2,1,5,16,0.125,9,0.563,1-0,1,0-0,990
10/03/2021,Wartburg,3-0,3,2,8,22,0.136,16,0.727,0-0,1,1-1,990
10/05/2021,Cornell College,1-1,1,1,3,9,0.111,7,0.778,0-0,0,0-0,1210
10/9/2021,Beloit,0-0,0,0,0,19,0.0,11,0.579,0-0,0,0-0,1210
10/12/2021,Monmouth (IL),3-2,3,3,9,21,0.143,12,0.571,0-0,1,0-0,1172
10/16/2021,Lawrence,1-0,1,0,2,7,0.143,4,0.571,0-0,1,0-0,990
10/19/2021,Macalester,2-0,2,2,6,10,0.2,5,0.5,1-0,1,0-0,990
10/23/2021,Ripon,0-4,0,0,0,0,0.0,0,0.0,0-0,0,0-0,990
10/30/2021,Lake Forest,2-0,2,1,5,7,0.286,6,0.857,1-0,1,0-0,990
Total,,29-18,29,21,79,221,0.131,134,0.606,4-0,12,1-2,17462
Grinnell,,-,18,14,50,205,0.088,122,0.595,3-0,3,-,17467
