Statistic,Grinnell,Opponents OPP
Shots,Shots,Shots
Goals G,18,29
Goals Per Game G/AVG,1.06,1.71
Shots SH,205,221
Shots Per Game SH/AVG,12.1,13.0
Shots Percentage SH%,0.088,0.131
Shots On Goal SOG,122-205,134-221
Shots On Goal Percentage SOG%,0.595,0.606
Penalties,Penalties,Penalties
Yellow Cards YC,3,4
Red Cards RC,0,0
Miscellaneous,Miscellaneous,Miscellaneous
Assists A,14,21
Saves S,105,104
Fouls F,116,131
Corner Kicks CK,61,78
Penalty Kicks: Goals-Attempts PG-PA,1-1,1-2
