0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Simpson Fall Invitational,9/24/2014,1,74,+3,t-6th/50
Pima CC Dual Meet,3/19/2015,1,80,+10,t-5th/0
Spring Eagle Classic,3/29-30/2015,2,78-78=156,+12,t-16th/0
2015 Stone Creek Challenge,4/4/2015,1,68,-3,t-3rd/19
Wartburg College Men's Spring Invite,4/10/2015,2,85-80=165,+21,t-34th/60
Central College JV Meet,4/13/2015,1,72,+2,1st/29
Midwest Preview Meet,4/19/15,1,77,+5,t-9th/41
Scot-Fire Invitational,4/24/2015,1,78,+6,t-29th/101
Midwest Conference Championship,4/30-5/2/2015,3,84-78-78=240,+24,t-13th/44
SEASON TOTALS,SEASON TOTALS,13,1010 Avg. 77.7,+6,-
