0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Pima CC Dual Meet,3/19/2015,1,82,+12,t-7th/0
Spring Eagle Classic,3/29-30/2015,2,85-87=172,+28,t-45th/0
2015 Stone Creek Challenge,4/4/2015,1,68,-3,t-3rd/19
Wartburg College Men's Spring Invite,4/10/2015,2,76-80=156,+12,t-9th/60
Central College JV Meet,4/13/2015,1,86,+16,27th/29
Midwest Preview Meet,4/19/15,1,74,+2,t-4th/41
Scot-Fire Invitational,4/24/2015,1,78,+6,t-29th/101
Midwest Conference Championship,4/30-5/2/2015,3,84-83-80=247,+31,19th/44
SEASON TOTALS,SEASON TOTALS,12,963 Avg. 80.3,+9,-
