0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Pima CC Dual Meet,3/19/2015,1,82,+12,t-7th/0
Spring Eagle Classic,3/29-30/2015,2,97-85=182,+38,52nd/0
2015 Stone Creek Challenge,4/4/2015,1,77,+6,17th/19
Wartburg College Men's Spring Invite,4/10/2015,2,86-89=175,+31,t-47th/60
Central College JV Meet,4/13/2015,1,88,+18,28th/29
Midwest Preview Meet,4/19/15,1,89,+17,t-33rd/41
Scot-Fire Invitational,4/24/2015,1,84,+12,t-68th/101
Midwest Conference Championship,4/30-5/2/2015,3,93-79-83=255,+39,29th/44
SEASON TOTALS,SEASON TOTALS,12,1032 Avg. 86.0,+14,-
