0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Pima CC Dual Meet,3/19/2015,1,76,+6,t-3rd/0
Spring Eagle Classic,3/29-30/2015,2,83-78=161,+17,t-28th/0
2015 Stone Creek Challenge,4/4/2015,1,66,-5,2nd/19
Wartburg College Men's Spring Invite,4/10/2015,2,81-77=158,+14,t-18th/60
Central College JV Meet,4/13/2015,1,78,+8,t-12th/29
Midwest Preview Meet,4/19/15,1,73,+1,t-1st/41
Scot-Fire Invitational,4/24/2015,1,84,+12,t-68th/101
Midwest Conference Championship,4/30-5/2/2015,3,82-83-76=241,+25,15th/44
SEASON TOTALS,SEASON TOTALS,12,937 Avg. 78.1,+7,-
