Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Clennon, Emily",SO-2,12.97,Midwest Conference Championships,"May 11, 2012",0.4
,"Clennon, Emily",SO-2,13.13,2012 Jim Duncan Invitational,"Apr 13, 2012",0.9
,"Ajinjeru, Christine",SO-2,13.21,Fighting Scots Outdoor Invitational,"May 5, 2012",1.7
,"Ajinjeru, Christine",SO-2,13.41,Dick Young Classic,"Apr 21, 2012",-1.2
,"Ajinjeru, Christine",SO-2,13.49,Dick Young Classic,"Apr 21, 2012",-0.9
,"Goldman, Elsa",FR-1,13.69,Dick Young Classic,"Apr 21, 2012",0.0
,"Goldman, Elsa",FR-1,13.87,Fighting Scots Outdoor Invitational,"May 5, 2012",1.7
,"Jensen, Sarah",FR-1,14.23,Dick Young Classic,"Apr 21, 2012",-0.8
,"Zucker, Kelly",JR-3,14.74,Fighting Scots Outdoor Invitational,"May 5, 2012",1.1
,"Zucker, Kelly",JR-3,14.92,Cornell Invitational,"Apr 14, 2012",-0.9
,"Hasan, Nadia",JR-3,14.98,Cornell Invitational,"Apr 14, 2012",-0.8
,"Hasan, Nadia",JR-3,15.09,Dick Young Classic,"Apr 21, 2012",-0.8
,"Hasan, Nadia",JR-3,15.09,Fighting Scots Outdoor Invitational,"May 5, 2012",1.1
,"Nahib, Furugh",FR-1,15.46,Loras Open,"Apr 28, 2012",1.6
,"Nahib, Furugh",FR-1,15.52,Dick Young Classic,"Apr 21, 2012",-0.9
,"Nahib, Furugh",FR-1,15.66,Cornell Invitational,"Apr 14, 2012",-0.9
