0,1,2,3,4,5,6
Grinnell College,349,329,340,1018,142,1st
Vidushi Sinha,80,77,78,235,16,1st
Vrishali Sinha,81,79,81,241,22,2nd
Sam Nakahira,93,84,93,270,51,7th
Samanike Hengst,96,89,90,275,56,9th
Lauren Yi,95,89,97,281,62,16th
Anisha Agarwalla,98,93,91,282,63,17th
