0,1,2,3,4,5
Grinnell College,320,315,635,59,2nd
Vrishali Sinha,76,71,147,3,1st
Vidushi Sinha,74,77,151,7,3rd
Samanike Hengst,85,81,166,22,t-14th
Sam Nakahira,85,86,171,27,t-20th
Lauren Yi,96,86,182,38,40th
