Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Boucher, Dylan",SR,1.83m,"6' 0""",Dubuque Spartan Open,"Feb 19, 2011"
,"Edwards, Ronald",,1.63m,"5' 4.25""",Dubuque Spartan Open,"Feb 19, 2011"
