Statistic,High,Opponent
PUTOUTS,36,Knox College (4/7/2012)
ASSISTS,22,Illinois College (4/22/2012)
ERRORS,5,Amherst College (3/24/2012); Knox College (5/6/2012); Grinnell College (3/3/2012)
PASSED BALLS,1,Washington U. (4/29/2012); Millikin (3/4/2012); Central College (3/28/2012); Knox College (4/7/2012)
DPS TURNED,5,Illinois College (4/22/2012)
