Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG
3/3/2012,vs,Grinnell College,L,5-6,33,5,7,4,1,0,0,5,0,1,1,1,0,2,0,7,24,10,5,0.212
3/3/2012,at,Webster,L,1-4,32,1,7,1,1,0,0,6,0,2,0,1,0,0,0,10,24,7,2,0.219
3/4/2012,vs,Millikin,L,5-8,33,5,8,5,3,0,0,3,0,3,1,3,0,0,0,8,24,14,2,0.242
3/4/2012,at,Webster,L,0-4,27,0,1,0,0,0,0,1,0,1,1,1,0,0,0,6,24,13,2,0.037
3/10/2012,at,Westminster (Mo.),W,4-2,30,4,8,3,1,0,1,1,0,2,0,1,0,0,1,2,21,11,1,0.267
3/10/2012,at,Westminster (Mo.),L,1-2,26,1,9,1,1,0,0,3,0,0,0,0,1,0,0,2,18,7,2,0.346
3/18/2012,vs,Benedictine Univ.,L,6-7,34,6,6,4,0,0,0,5,0,2,1,2,0,0,0,4,24,11,3,0.176
3/19/2012,vs,Ramapo,L,1-2,35,1,6,0,1,0,0,3,0,5,1,0,1,0,0,7,28,15,1,0.171
3/19/2012,vs,Grinnell College,W,12-10,36,12,17,11,6,1,1,2,0,0,2,1,0,0,0,5,21,9,1,0.472
3/20/2012,vs,Univ. of Chicago,L,0-5,22,0,2,0,0,0,0,1,0,0,0,0,0,0,1,3,18,5,1,0.091
3/20/2012,vs,Grinnell College,W,11-2,31,11,12,8,0,0,0,5,0,2,1,1,0,2,0,3,21,11,2,0.387
3/21/2012,vs,Hope College,W,12-5,41,12,13,9,4,0,0,5,0,4,1,0,0,0,0,6,27,18,1,0.317
3/23/2012,vs,Elmhurst College,W,8-1,40,8,16,7,1,0,0,7,0,5,2,2,0,1,1,9,27,11,0,0.4
3/24/2012,vs,Amherst College,W,12-11,42,12,16,12,5,1,1,4,1,0,2,5,1,0,0,5,33,15,5,0.381
3/28/2012,at,Central College,L,3-8,30,3,5,2,1,0,1,7,0,4,1,0,0,0,0,4,24,11,3,0.167
4/7/2012,at,Knox College,W,21-8,33,21,16,17,4,0,1,10,0,3,0,5,2,2,0,3,21,9,0,0.485
4/7/2012,at,Knox College,W,9-8,45,9,12,8,4,0,0,8,1,2,1,0,2,0,0,3,36,13,3,0.267
4/12/2012,at,Simpson,W,11-9,42,11,18,11,3,2,0,2,0,2,0,1,2,0,0,3,27,10,2,0.429
4/17/2012,,Central College,W,3-1,31,3,6,3,1,0,1,3,0,1,0,0,1,0,0,3,27,18,2,0.194
4/21/2012,,Illinois College,W,8-4,34,8,12,7,0,1,1,7,1,0,2,0,1,1,0,3,27,15,2,0.353
4/21/2012,,Illinois College,W,4-2,31,4,10,4,0,0,0,5,1,3,1,1,1,1,1,5,27,5,0,0.323
4/22/2012,at,Illinois College,W,8-7,47,8,16,8,1,1,3,4,1,1,0,2,2,1,0,1,33,22,1,0.34
4/22/2012,at,Illinois College,L,3-4,33,3,8,3,2,0,1,1,0,3,0,1,1,0,0,1,24,5,1,0.242
4/25/2012,at,Augustana,L,4-11,32,4,8,4,2,0,0,7,0,0,1,1,0,1,1,5,24,9,4,0.25
4/28/2012,,Monmouth College,W,10-0,30,10,13,9,6,0,0,5,0,0,0,0,1,1,1,0,21,14,2,0.433
4/28/2012,,Monmouth College,W,6-0,32,6,7,6,1,0,1,6,1,0,0,0,0,0,0,6,27,18,0,0.219
4/29/2012,vs,Washington U.,L,7-11,40,7,13,6,1,0,0,2,0,0,0,1,0,0,1,10,27,14,3,0.325
5/1/2012,,Simpson,W,9-1,35,9,13,9,0,0,0,3,0,4,1,2,0,3,1,1,27,14,1,0.371
5/5/2012,at,Monmouth College,L,6-7,37,6,11,6,0,0,1,2,0,3,1,2,0,1,1,5,24,10,1,0.297
5/5/2012,at,Monmouth College,L,3-4,34,3,6,2,2,0,0,4,1,0,0,2,0,0,2,8,25,10,2,0.176
5/6/2012,,Knox College,W,2-0,30,2,8,2,1,0,0,2,0,0,0,1,1,0,1,3,27,12,0,0.267
5/6/2012,,Knox College,L,11-12,42,11,14,8,4,0,0,5,0,4,0,5,0,0,1,3,27,15,5,0.333
5/11/2012,,Beloit College,L,3-4,32,3,6,3,1,0,0,1,0,0,0,0,0,0,1,3,27,16,2,0.188
5/11/2012,at,Knox College,W,12-0,39,12,16,10,4,1,0,4,0,4,1,2,0,1,0,2,24,11,1,0.41
5/12/2012,at,Beloit College,L,6-7,38,6,14,5,3,1,0,1,0,0,0,0,2,0,1,6,26,13,0,0.368
Total,,,,227-177,1209,227,360,198,65,8,13,140,7,61,22,44,19,17,15,155,886,421,63,
