Player,2,3,4,5+,Total
"Goldfien, Michael",10,6,1,-,17
"Nodzenski, Mike",10,4,1,-,15
"Inafuku, Kainoa",11,1,-,-,12
"Gray, Ronnie",6,5,-,-,11
"Skelly, Matt",9,-,-,-,9
"Dowrick, J.R.",7,-,1,-,8
"Markey, Jackson",6,1,-,-,7
"Davis, Drew",5,-,1,-,6
"Spacapan, John",2,3,-,-,5
"Blumenreich, Matt",1,1,-,-,2
"Platt, Andrew",2,-,-,-,2
"Schaeffer, Matt",1,1,-,-,2
"Tremblay, Colin",-,2,-,-,2
"Pope, Ben",-,1,-,-,1
11,1,-,-,-,1
"Knoll, Dugan",1,-,-,-,1
"Sutton, Charlie",1,-,-,-,1
"Sales, Ian",1,-,-,-,1
TEAM,74,25,4,0,103
