#,Player,ERA,WHIP,W-L,APP-GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA,Bio Link
27.0,"Kelley, Andrew 27Kelley, Andrew",2.89,1.03,5-2,16-3,0,0-1,0,43.2,36,19,14,9,29,7,1,1,153,0.235,1,6,1,4,5,View Bio
3.0,"Pope, Ben 3Pope, Ben",3.38,1.06,5-3,12-10,3,1-0,1,64.0,55,36,24,13,59,11,0,4,244,0.225,1,10,0,0,1,View Bio
23.0,"Pahos, Will 23Pahos, Will",3.79,1.16,4-2,10-9,0,0-3,0,59.1,60,30,25,9,28,15,3,2,229,0.262,5,8,2,1,3,View Bio
15.0,"Inafuku, Kainoa 15Inafuku, Kainoa",0.0,1.5,0-0,2-0,0,0-0,0,2.0,3,0,0,0,1,0,0,0,8,0.375,0,1,0,0,0,View Bio
16.0,"Knoll, Dugan 16Knoll, Dugan",0.0,0.0,0-0,1-0,0,0-0,0,2.2,0,0,0,0,3,0,0,0,7,0.0,0,1,0,0,0,View Bio
20.0,"Mayberry IV, Billy 20Mayberry IV, Billy",0.0,3.0,0-0,1-0,0,0-0,0,0.1,0,0,0,1,1,0,0,0,1,0.0,1,0,0,0,0,View Bio
34.0,"Eckberg, Chris 34Eckberg, Chris",0.0,0.67,0-0,2-0,0,0-0,1,3.0,1,0,0,1,3,0,0,0,9,0.111,0,0,0,0,0,View Bio
40.0,"Turner, Sam 40Turner, Sam",0.0,0.0,0-0,1-0,0,0-0,0,0.1,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,View Bio
17.0,"Bouton, Ryan 17Bouton, Ryan",3.0,1.33,0-1,1-0,0,0-0,0,3.0,1,2,1,3,0,0,0,0,8,0.125,0,1,0,0,2,View Bio
32.0,"Bennett, Will 32Bennett, Will",3.37,1.5,0-1,4-0,0,0-0,0,2.2,2,1,1,2,0,0,0,0,7,0.286,2,1,0,1,1,View Bio
21.0,"Platt, Andrew 21Platt, Andrew",3.46,1.85,0-0,14-0,0,0-1,0,13.0,14,7,5,10,9,2,1,1,48,0.292,2,4,0,1,2,View Bio
31.0,"Ormond, Jason 31Ormond, Jason",3.9,1.4,1-3,15-1,0,0-2,0,30.0,35,18,13,7,25,7,2,0,115,0.304,1,0,0,2,2,View Bio
13.0,"Myers, Andrew 13Myers, Andrew",5.4,1.91,0-0,7-3,0,0-0,0,18.1,25,15,11,10,18,5,0,0,77,0.325,3,1,0,1,3,View Bio
12.0,12  1212,5.4,1.0,1-0,1-1,0,0-0,0,5.0,4,3,3,1,4,0,0,0,19,0.211,0,1,1,0,0,
19.0,"Jacobson, Max 19Jacobson, Max",5.68,1.7,1-2,7-4,0,0-0,0,25.1,31,18,16,12,22,7,0,1,105,0.295,5,6,1,0,2,View Bio
33.0,"Markey, Jackson 33Markey, Jackson",7.2,2.2,0-0,2-1,0,0-0,0,5.0,6,7,4,5,5,2,0,0,20,0.3,0,2,0,1,0,View Bio
36.0,"Sales, Ian 36Sales, Ian",9.56,2.19,1-2,9-3,0,0-0,0,16.0,31,19,17,4,12,7,2,2,76,0.408,1,0,0,2,1,View Bio
30.0,"Goetz, TJ 30Goetz, TJ",10.8,2.4,0-1,2-0,0,0-0,0,1.2,3,2,2,1,2,1,0,0,6,0.5,0,0,0,1,1,View Bio
,Totals,4.14,1.34,18-17,107-35,3,4,2,295.1,307,177,136,88,221,64,9,11,1133,0.271,22,42,5,14,23,
,Opponents,5.24,1.67,17-18,104-35,4,2,2,300.1,360,227,175,140,155,65,8,13,1209,0.298,27,44,5,17,19,
