Statistic,High,Opponent
INNINGS PITCHED,12.0,Knox College (4/7/2012)
RUNS ALLOWED,12.0,Knox College (5/6/2012)
EARNED RUNS,10.0,Washington U. (4/29/2012); Grinnell College (3/19/2012)
WALKS ALLOWED,8.0,Millikin (3/4/2012)
STRIKEOUTS,14.0,Illinois College (4/22/2012)
HITS ALLOWED,20.0,Washington U. (4/29/2012)
DOUBLES ALLOWED,5.0,Amherst College (3/24/2012); Washington U. (4/29/2012); Augustana (4/25/2012)
TRIPLES ALLOWED,2.0,Amherst College (3/24/2012); Hope College (3/21/2012)
HOME RUNS ALLOWED,2.0,Illinois College (4/21/2012); Simpson (4/12/2012)
WILD PITCHES,3.0,Amherst College (3/24/2012)
HIT BATTERS,4.0,Beloit College (5/11/2012); Knox College (4/7/2012); Knox College (4/7/2012)
