Player,Longest,Current
"Skelly, Matt",27,27
"Nodzenski, Mike",24,24
"Dowrick, J.R.",20,20
"Goldfien, Michael",15,2
"Inafuku, Kainoa",15,9
"Gray, Ronnie",11,4
"Spacapan, John",11,1
"Davis, Drew",8,2
"Markey, Jackson",6,2
"Blumenreich, Matt",4,-
"Schaeffer, Matt",4,2
"Zarcone, Phillip",3,3
"Pope, Ben",2,2
"Kemis, Jason",2,1
"Knoll, Dugan",2,2
"Platt, Andrew",2,2
"Tremblay, Colin",2,2
11,1,-
"Bouton, Ryan",1,-
"Mayberry IV, Billy",1,1
"Pahos, Will",1,-
"Kelley, Andrew",1,1
"Sutton, Charlie",1,1
"Ormond, Jason",1,1
"Sales, Ian",1,1
"Bell, Walker",1,1
