Statistic,High,Player,Opponent
AT BATS,7,Drew Davis,Knox College (4/7/2012)
RUNS SCORED,4,Ronnie Gray,Knox College (4/7/2012)
HITS,4,Mike Nodzenski; Dave Jacob; Drew Davis; J.R. Dowrick,Amherst College (3/24/2012); Grinnell College (3/19/2012); Elmhurst College (3/23/2012); Simpson (4/12/2012)
RBIS,5,Mike Nodzenski,Illinois College (4/22/2012)
DOUBLES,2,Mike Nodzenski; Ronnie Gray; Michael Goldfien,Amherst College (3/24/2012); Monmouth College (4/28/2012); Millikin (3/4/2012); Hope College (3/21/2012); Knox College (4/7/2012)
TRIPLES,1,Drew Davis; Dowrick; Dave Jacob; J.R. Dowrick,Amherst College (3/24/2012); Illinois College (4/21/2012); Grinnell College (3/19/2012); Simpson (4/12/2012); Illinois College (4/22/2012)
HOME RUNS,2,Mike Nodzenski,Illinois College (4/22/2012)
WALKS,3,"Mike Nodzenski; Troncelliti,Ricky; Kainoa Inafuku; J.R. Dowrick",Monmouth College (4/28/2012); Grinnell College (3/20/2012); Knox College (4/7/2012); Knox College (4/7/2012)
STRIKEOUTS,3,Drew Davis,Millikin (3/4/2012)
SAC HITS,2,Drew Davis,Illinois College (4/22/2012)
SAC FLIES,1,"Ronnie Gray; Matt Skelly; Drew Davis; Haws, Kollin",Illinois College (4/21/2012); Illinois College (4/21/2012); Monmouth College (4/28/2012); Simpson (5/1/2012); Grinnell College (3/3/2012)
STOLEN BASES,3,Kainoa Inafuku,Elmhurst College (3/23/2012)
HIT BY PITCH,2,Drew Davis,Knox College (4/7/2012)
CAUGHT STEALING,1,"Matt Blumenreich; Kainoa Inafuku; Matt Skelly; Jackson Markey; Haws, Kollin",Amherst College (3/24/2012); Illinois College (4/21/2012); Illinois College (4/21/2012); Simpson (5/1/2012); Grinnell College (3/3/2012)
HIT INTO DP,1,Mike Nodzenski; John Spacapan; Jackson Markey; Michael Goldfien,Illinois College (4/21/2012); Monmouth College (4/28/2012); Washington U. (4/29/2012); Simpson (5/1/2012); Knox College (5/6/2012)
