Statistic,High,Opponent
AT BATS,47,Illinois College (4/22/2012)
RUNS SCORED,21,Knox College (4/7/2012)
HITS,18,Simpson (4/12/2012)
RBIS,17,Knox College (4/7/2012)
DOUBLES,6,Monmouth College (4/28/2012); Grinnell College (3/19/2012)
TRIPLES,2,Simpson (4/12/2012)
HOME RUNS,3,Illinois College (4/22/2012)
WALKS,10,Knox College (4/7/2012)
STRIKEOUTS,10,Washington U. (4/29/2012); Webster (3/3/2012)
SAC HITS,2,Knox College (4/7/2012); Knox College (4/7/2012); Simpson (4/12/2012); Illinois College (4/22/2012); Beloit College (5/12/2012)
SAC FLIES,3,Simpson (5/1/2012)
STOLEN BASES,5,Ramapo (3/19/2012); Elmhurst College (3/23/2012)
HIT BY PITCH,5,Amherst College (3/24/2012); Knox College (5/6/2012); Knox College (4/7/2012)
CAUGHT STEALING,2,Amherst College (3/24/2012); Illinois College (4/21/2012); Grinnell College (3/19/2012); Elmhurst College (3/23/2012)
HIT INTO DP,2,Knox College (5/6/2012); Illinois College (4/22/2012); Monmouth College (5/5/2012)
