#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,Bio Link
14.0,"Nodzenski, Mike 14 Nodzenski, Mike",0.383,1.202,33-32,120,25,46,16,0,7,32,83,0.692,26,5,13,3,0.51,0,0,1-3,View Bio
5.0,"Goldfien, Michael 5 Goldfien, Michael",0.37,0.923,33-33,138,30,51,6,2,2,31,67,0.486,15,3,11,2,0.437,2,1,1-1,View Bio
26.0,"Gray, Ronnie 26 Gray, Ronnie",0.323,0.757,33-33,124,20,40,6,0,0,18,46,0.371,13,1,8,2,0.386,2,4,1-3,View Bio
15.0,"Inafuku, Kainoa 15 Inafuku, Kainoa",0.316,0.762,33-33,117,26,37,3,0,0,15,40,0.342,16,5,12,0,0.42,0,3,10-13,View Bio
18.0,"Skelly, Matt 18 Skelly, Matt",0.283,0.706,32-32,120,18,34,5,0,0,17,39,0.325,19,3,13,0,0.381,5,0,4-6,View Bio
6.0,"Davis, Drew 6 Davis, Drew",0.256,0.707,33-33,121,29,31,6,2,1,13,44,0.364,9,8,19,2,0.343,2,6,14-18,View Bio
33.0,"Markey, Jackson 33 Markey, Jackson",0.253,0.642,27-24,87,17,22,1,0,1,10,26,0.299,5,7,12,2,0.343,0,3,7-8,View Bio
36.0,"Sales, Ian 36 Sales, Ian",0.667,2.75,10-4,3,2,2,1,0,1,3,6,2.0,1,0,0,0,0.75,0,0,0-1,View Bio
21.0,"Platt, Andrew 21 Platt, Andrew",0.5,1.125,16-2,8,3,4,1,0,0,1,5,0.625,0,0,0,0,0.5,0,0,0-0,View Bio
16.0,"Knoll, Dugan 16 Knoll, Dugan",0.375,0.9,3-2,8,1,3,1,0,0,6,4,0.5,1,0,2,0,0.4,1,0,0-1,View Bio
3.0,"Pope, Ben 3 Pope, Ben",0.375,0.775,13-11,8,3,3,0,0,0,2,3,0.375,1,0,1,0,0.4,1,0,1-1,View Bio
24.0,"Schaeffer, Matt 24 Schaeffer, Matt",0.333,0.916,10-6,21,2,7,3,0,0,2,10,0.476,3,1,4,0,0.44,0,0,0-0,View Bio
17.0,"Bouton, Ryan 17 Bouton, Ryan",0.333,0.666,3-1,3,1,1,0,0,0,0,1,0.333,0,0,1,0,0.333,0,0,0-0,View Bio
39.0,"Bell, Walker 39 Bell, Walker",0.333,0.733,3-1,3,0,1,0,0,0,1,1,0.333,1,0,1,0,0.4,1,0,0-0,View Bio
37.0,"Dowrick, J.R. 37 Dowrick, J.R.",0.315,0.893,25-22,89,21,28,7,4,0,12,43,0.483,12,3,13,1,0.41,1,1,4-6,View Bio
25.0,"Tremblay, Colin 25 Tremblay, Colin",0.3,0.667,12-5,30,4,9,2,0,0,4,11,0.367,0,0,8,0,0.3,0,0,1-1,View Bio
29.0,"Sutton, Charlie 29 Sutton, Charlie",0.3,0.6,5-1,10,1,3,0,0,0,1,3,0.3,0,0,1,0,0.3,0,0,0-0,View Bio
28.0,"Spacapan, John 28 Spacapan, John",0.284,0.739,18-17,67,8,19,4,0,1,15,26,0.388,4,3,6,1,0.351,0,0,0-1,View Bio
20.0,"Mayberry IV, Billy 20 Mayberry IV, Billy",0.25,0.45,3-1,4,2,1,0,0,0,1,1,0.25,0,0,1,0,0.2,1,0,0-0,View Bio
,11  11,0.182,0.535,9-5,22,1,4,1,0,0,2,5,0.227,3,1,8,0,0.308,0,0,1-1,
7.0,"Blumenreich, Matt 7 Blumenreich, Matt",0.171,0.408,11-9,35,2,6,0,0,0,2,6,0.171,3,0,6,0,0.237,0,1,1-2,View Bio
10.0,"Kemis, Jason 10 Kemis, Jason",0.152,0.382,10-9,33,5,5,1,0,0,5,6,0.182,2,0,10,1,0.2,0,0,6-6,View Bio
23.0,"Pahos, Will 23 Pahos, Will",0.125,0.375,12-11,8,1,1,1,0,0,2,2,0.25,0,0,0,0,0.125,0,0,0-0,View Bio
35.0,"Zarcone, Phillip 35 Zarcone, Phillip",0.118,0.493,10-6,17,0,2,0,0,0,2,2,0.118,4,3,3,0,0.375,0,0,3-4,View Bio
31.0,"Ormond, Jason 31 Ormond, Jason",0.0,0.25,19-3,6,0,0,0,0,0,0,0,0.0,1,1,1,1,0.25,0,0,0-0,View Bio
27.0,"Kelley, Andrew 27 Kelley, Andrew",0.0,0.167,18-5,4,1,0,0,0,0,1,0,0.0,1,0,0,0,0.167,1,0,0-0,View Bio
38.0,"Kawahara, Yuki 38 Kawahara, Yuki",0.0,0.0,10-0,2,4,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,6-7,View Bio
,1  1,0.0,0.0,1-0,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,
,Totals,0.298,0.783,35-35,1209,227,360,65,8,13,198,480,0.397,140,44,155,15,0.386,17,19,61-83,
,Opponents,0.271,0.714,35-35,1133,177,307,64,9,11,154,422,0.372,88,42,221,25,0.342,14,23,31-48,
