Statistic,High,Player,Opponent
INNINGS PITCHED,9.0,Ben Pope,Illinois College (4/21/2012)
RUNS ALLOWED,8.0,Will Pahos; Ben Pope,Amherst College (3/24/2012); Knox College (4/7/2012)
EARNED RUNS,8.0,Ben Pope,Knox College (4/7/2012)
WALKS ALLOWED,4.0,"Runyon, JD; Andrew Kelley",Grinnell College (3/3/2012); Millikin (3/4/2012)
STRIKEOUTS,10.0,Ben Pope,Illinois College (4/21/2012)
HITS ALLOWED,12.0,Will Pahos,Illinois College (4/22/2012)
DOUBLES ALLOWED,4.0,Will Pahos; Ben Pope,Amherst College (3/24/2012); Benedictine Univ. (3/18/2012)
TRIPLES ALLOWED,1.0,"Will Pahos; Platt, A; James Knight; Ian Sales",Amherst College (3/24/2012); Webster (3/4/2012); Ramapo (3/19/2012); Grinnell College (3/19/2012); Hope College (3/21/2012)
HOME RUNS ALLOWED,2.0,Ben Pope,Illinois College (4/21/2012)
WILD PITCHES,3.0,Will Pahos,Amherst College (3/24/2012)
HIT BATTERS,3.0,Ben Pope; Will Pahos,Beloit College (5/11/2012); Webster (3/3/2012); Knox College (4/7/2012)
