#,Player,ERA,WHIP,W-L,APP-GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA,Bio Link
15.0,"Inafuku, Kainoa 15Inafuku, Kainoa",0.0,0.0,0-0,1-0,0,0-0,0,1.0,0,0,0,0,1,0,0,0,3,0.0,0,1,0,0,0,View Bio
16.0,"Knoll, Dugan 16Knoll, Dugan",0.0,0.0,0-0,1-0,0,0-0,0,2.2,0,0,0,0,3,0,0,0,7,0.0,0,1,0,0,0,View Bio
40.0,"Turner, Sam 40Turner, Sam",0.0,0.0,0-0,1-0,0,0-0,0,0.1,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,View Bio
27.0,"Kelley, Andrew 27Kelley, Andrew",0.51,0.64,4-1,6-1,0,0-1,0,17.2,9,1,1,2,14,0,0,0,57,0.158,0,3,0,0,2,View Bio
21.0,"Platt, Andrew 21Platt, Andrew",2.45,2.19,0-0,4-0,0,0-0,0,3.2,6,1,1,1,5,1,0,0,16,0.375,0,2,0,0,0,View Bio
31.0,"Ormond, Jason 31Ormond, Jason",2.57,1.0,0-0,3-0,0,0-1,0,7.0,5,2,2,2,8,1,0,0,23,0.217,0,0,0,0,1,View Bio
13.0,"Myers, Andrew 13Myers, Andrew",3.72,1.85,0-0,3-2,0,0-0,0,9.2,13,7,4,4,12,4,0,0,40,0.325,3,0,0,1,2,View Bio
36.0,"Sales, Ian 36Sales, Ian",4.26,1.97,0-1,2-1,0,0-0,0,6.1,10,4,3,2,7,1,0,1,30,0.333,0,0,0,0,1,View Bio
23.0,"Pahos, Will 23Pahos, Will",4.38,1.07,2-0,4-3,0,0-2,0,24.2,22,14,12,4,9,4,1,1,88,0.25,2,5,1,0,1,View Bio
32.0,"Bennett, Will 32Bennett, Will",4.5,1.0,0-1,2-0,0,0-0,0,2.0,1,1,1,1,0,0,0,0,4,0.25,2,1,0,1,1,View Bio
3.0,"Pope, Ben 3Pope, Ben",5.7,1.08,2-0,4-4,2,1-0,0,23.2,23,16,15,2,24,5,0,3,92,0.25,1,3,0,0,1,View Bio
19.0,"Jacobson, Max 19Jacobson, Max",7.71,2.0,0-0,2-1,0,0-0,0,7.0,9,8,6,5,5,3,0,0,31,0.29,0,2,0,0,0,View Bio
30.0,"Goetz, TJ 30Goetz, TJ",27.0,20.0,0-1,1-0,0,0-0,0,0.2,3,2,2,1,0,1,0,0,3,1.0,0,0,0,1,1,View Bio
,Totals,3.98,1.18,8-4,34-12,2,3,0,106.1,101,56,47,24,88,20,1,5,395,0.256,8,18,1,3,10,
,Opponents,6.81,1.84,4-8,38-12,1,0,1,104.1,133,91,79,59,41,25,2,8,428,0.311,15,19,2,7,11,
