Player,2,3,4,5+,Total
"Nodzenski, Mike",9,-,1,1,11
"Goldfien, Michael",8,2,-,-,10
"Skelly, Matt",5,-,-,-,5
"Spacapan, John",3,2,-,-,5
"Davis, Drew",4,-,-,-,4
"Gray, Ronnie",3,1,-,-,4
"Dowrick, J.R.",4,-,-,-,4
"Inafuku, Kainoa",2,1,-,-,3
"Markey, Jackson",2,-,1,-,3
"Knoll, Dugan",-,2,-,-,2
"Pope, Ben",1,-,-,-,1
"Kemis, Jason",1,-,-,-,1
11,1,-,-,-,1
"Pahos, Will",1,-,-,-,1
"Tremblay, Colin",1,-,-,-,1
"Sales, Ian",-,1,-,-,1
TEAM,45,9,2,1,57
