Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Shults, Andrew",JR-3,22.84 #,Wartburg Indoor Invitational,"Feb 17, 2018",0.0
,"Henderson, Erik",JR-3,23.55 #,Midwest Conference Indoor Championships,"Feb 23, 2018",0.0
