0,1,2,3
Grinnell College,310,22,2nd
JP DeFranco,73,1,t-1st
Zach McGriff,74,2,t-4th
Evan Bunis,77,5,t-9th
Nirabh Koirala,86,14,t-25th
Rockne DeCoster,89,17,t-33rd
