0,1,2,3
Grinnell College,279,-5,1st
JP DeFranco,66,-5,2nd
Evan Bunis,68,-3,t-3rd
Zach McGriff,68,-3,t-3rd
Rockne DeCoster,77,6,17th
Nirabh Koirala,78,7,18th
