0,1,2,3
Grinnell College,320,40,2nd
JP DeFranco,76,6,t-3rd
Evan Bunis,80,10,t-5th
Rockne DeCoster,82,12,t-7th
Zach McGriff,82,12,t-7th
Nirabh Koirala,87,17,t-10th
