0,1,2,3
Grinnell College,312,32,t-2nd
Evan Bunis,72,2,1st
Nirabh Koirala,76,6,t-6th
JP DeFranco,78,8,t-12th
Zach McGriff,86,16,27th
Rockne Decoster,88,18,28th
