0,1,2,3
Grinnell College,324,36,13th
Evan Bunis,78,6,t-29th
Zach McGriff,78,6,t-29th
Rockne Decoster,84,12,t-68th
JP DeFranco,84,12,t-68th
Nirabh Koirala,86,14,t-79th
