0,1,2,3,4,5,6
Grinnell College,337,322,317,976,112,4th
Evan Bunis,84,78,78,240,24,t-13th
JP DeFranco,82,83,76,241,25,15th
Zach McGriff,84,83,80,247,31,19th
Rockne Decoster,93,79,83,255,39,29th
Nirabh Koirala,87,82,92,261,45,32nd
