0,1,2,3,4,5,6,7,8,9,10,11
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low,Finish Top,Finish Top,Finish Top,Finish Top,
Season,Rounds,Strokes,54-holes,36-holes,18-holes,Round,Events,1,5,10,Average
2011,10,914,272,168,88,83,5,-,1,3,91.4
2012,6,529,-,173,-,86,4,-,1,2,88.2
Totals,16,1443,272,168,88,83,9,-,2,5,90.2
