0,1,2,3,4,5,6,7,8,9,10,11,12
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low,Finish Top,Finish Top,Finish Top,Finish Top,,
Player,Rounds,Strokes,54-holes,36-holes,18-holes,Round,Events,1,5,10,Average,Seasons
Elizabeth Burnett,29,2607,251,160,85,79,16,-,2,2,89.9,2010-12
Natalie Klee,30,2710,278,174,83,83,17,-,1,3,90.3,2010-12
Kayleigh Kresse,15,1339,253,169,89,82,9,-,1,2,89.3,2011-12
Ashlen Matzdorf,6,590,-,197,95,95,4,-,-,-,98.3,2010
Mallory Messin,29,2466,245,158,77,77,17,-,6,8,85.0,2010-12
Alex Plemmons,20,1761,269,163,89,80,11,-,2,4,88.1,2011-12
Stephanie Spahr,34,3034,280,164,82,81,19,-,1,5,89.2,2010-12
Hailey Speck,16,1443,272,168,88,83,9,-,2,5,90.2,2011-12
Elaine Teo,17,1649,299,186,89,89,10,-,-,1,97.0,2010-11
