Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"August 31, 2012 (Friday)",,Home,Hamline University,"Beloit, Wis./Flood Arena (Sports Center)",,,"L,0-317-25, 7-25, 14-25",
"August 31, 2012 (Friday)",,Home,Macalester College,"Beloit, Wis./Flood Arena (Sports Center)",,,"L,0-315-25, 21-25, 16-25",
"September 1, 2012 (Saturday)",,Home,Milwaukee School of Engineering,"Beloit, Wis./Flood Arena (Sports Center)",,,"L,0-317-25, 13-25, 19-25",
"September 1, 2012 (Saturday)",,Home,Presentation College,"Beloit, Wis./Flood Arena (Sports Center)",,,"L,0-316-25, 19-25, 14-25",
"September 5, 2012 (Wednesday)",,Home,Aurora University,"Beloit, Wis./Flood Arena (Sports Center)",,,"L,1-318-25, 25-21, 21-25, 21-25",
"September 7, 2012 (Friday)",,Home,Principia College,"Elsah, Ill./Flood Arena (Sports Center)",,,"L,1-321-25, 28-26, 21-25, 15-25",
"September 7, 2012 (Friday)",,Home,Roosevelt University,"Beloit, Wis./Flood Arena (Sports Center)",,,"L,0-313-25, 13-25, 20-25",
"September 8, 2012 (Saturday)",,Home,North Central College,"Beloit, Wis./Flood Arena (Sports Center)",,,"L,0-320-25, 15-25, 16-25",
"September 8, 2012 (Saturday)",,Home,Rockford University,"Beloit, Wis./Flood Arena (Sports Center)",,,"L,1-325-22, 18-25, 15-25, 20-25",
"September 14, 2012 (Friday)",,Away,Albion College,"Albion, Mich.",,,"W,3-025-20, 25-17, 25-14",
"September 14, 2012 (Friday)",,Home,Knox College,"Beloit, Wis./Flood Arena (Sports Center)",,,"L,1-325-18, 15-25, 20-25, 24-26",
"September 15, 2012 (Saturday)",,Home,Augustana College (IL),"Beloit, Wis./Flood Arena (Sports Center)",,,"L,0-310-25, 18-25, 14-25",
"September 15, 2012 (Saturday)",,Home,Augustana College (IL),"Beloit, Wis./Flood Arena (Sports Center)",,,"L,0-314-25, 18-25, 16-25",
"September 22, 2012 (Saturday)",,Home,Mount Mary University,"Beloit, Wis./Flood Arena (Sports Center)",,,"W,3-111-25, 25-23, 26-24, 25-17",
"September 22, 2012 (Saturday)",,Home,Milwaukee School of Engineering,"Beloit, Wis./Flood Arena (Sports Center)",,,"L,0-319-25, 10-25, 22-25",
"September 26, 2012 (Wednesday)",,Away,Lake Forest College,"Lake Forest, Ill.",,,"L,0-313-25, 18-25, 15-25",
"September 28, 2012 (Friday)",,Away,Ripon College,"Ripon, Wis.",,,"L,0-315-25, 12-25, 21-25",
"October 5, 2012 (Friday)",,Home,Cornell College,"Beloit, Wis./Flood Arena (Sports Center)",,,"L,0-314-25, 14-25,12-25",
"October 6, 2012 (Saturday)",,Home,Grinnell College,"Beloit, Wis./Flood Arena (Sports Center)",,,"L,0-317-25, 11-25, 24-26",
"October 12, 2012 (Friday)",,Home,Lawrence University,"Beloit, Wis./Flood Arena (Sports Center)",,,"L,0-313-25, 17-25, 22-25",
"October 13, 2012 (Saturday)",,Home,St. Norbert College,"Beloit, Wis./Flood Arena (Sports Center)",,,"L,0-38-25, 13-25, 18-25",
"October 13, 2012 (Saturday)",,Home,Edgewood College,"Beloit, Wis./Flood Arena (Sports Center)",,,"L,0-39-25, 6-25, 20-25",
"October 17, 2012 (Wednesday)",,Home,Carroll University,"Beloit, Wis./Flood Arena (Sports Center)",,,"L,0-314-25, 13-25, 13-25",
"October 19, 2012 (Friday)",,Home,MacMurray College,"Beloit, Wis./Flood Arena (Sports Center)",,,"W,3-114-25, 25-20, 25-20, 25-20",
"October 20, 2012 (Saturday)",,Away,Illinois College,"Jacksonville, Ill.",,,"L,0-318-25, 15-25, 10-25",
"October 26, 2012 (Friday)",,Away,Knox College,"Galesburg, Ill.",,,"W,3-125-18, 22-25, 25-23, 25-16",
"October 27, 2017 (Friday)",,Away,Monmouth College,"Monmouth, Ill.",,,"L,0-316-25, 17-25, 12-25",
