#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO/CBO,SF,Bio Link
30.0,"Manley, Devon 30Manley, Devon",1,0,25:45,0,0.0,0,0.0,0.0,0.0,0.0,0/1,0,View Bio
1.0,"Oldach, Katy 1Oldach, Katy",17,0,782:16,4,0.46,31,0.886,4.0,0.0,1.0,0/7,62,View Bio
0.0,"Young, Jordan 0Young, Jordan",19,19,945:00,12,1.14,42,0.778,7.0,7.0,0.0,1/7,73,View Bio
,Total,19,-,1753:01,16,0.82,73,0.82,11.0,7.0,1.0,8,135,
,Opponents,19,-,1753:01,36,1.85,114,0.76,,,,5,211,
