#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO/CBO,SF,Bio Link
1.0,"Oldach, Katy 1Oldach, Katy",9,0,434:28,1,0.21,19,0.95,2.0,0.0,1.0,0/4,30,View Bio
0.0,"Young, Jordan 0Young, Jordan",10,10,495:00,5,0.91,15,0.75,4.0,3.0,0.0,0/4,18,View Bio
,Total,10,-,929:28,6,0.58,34,0.85,6.0,3.0,1.0,4,48,
,Opponents,10,-,929:28,13,1.26,51,0.797,,,,2,69,
