Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist]
8/30/2013,vs Univ. of Dubuque,L,0-1,(0-1),,92,
8/31/2013,vs Blackburn College,W,11-0,(1-1),,81,Patty Murphy-Geiss (0) (Eden Marek)  Patty Murphy-Geiss (0) (Abby Jaeger)  Hannah Safter (0) Eva Smith (0) Elle Silverman (0) Maggie Mamantov (0) (Eva Smith)  Nora Sahel (0) (Carolyn Silverman)  Julia Sauerhaft (0) (Patty Murphy-Geiss)  Nora Sahel (0) (Patty Murphy-Geiss)  Abby Jaeger (0) Dabney Hofammann (0) (Mackenzie Shanahan)
9/7/2013,vs Principia College,W,2-1,(2-1-0),,106,"Maddie Gray (0) Carolyn Silverman (0) (Eva Smith , Mackenzie Shanahan)"
9/8/2013,vs Buena Vista Univ.,W,6-0,(3-1),,0,Patty Murphy-Geiss (0) (Sarah Jensen)  Patty Murphy-Geiss (0) (Carolyn Silverman)  Eva Smith (0) (Abby Jaeger)  Kristen Stacey (0) (Dabney Hofammann)  Kristen Stacey (0) (Dabney Hofammann)  Hannah Safter (0) (Patty Murphy-Geiss)
9/11/2013,vs Central College,L,0-1,(3-2-0),,139,
9/17/2013,at Cornell College,W,2-1,"(4-2, 1-0 MWC)",1-0 MWC,65,Carolyn Silverman (2) (Abby Jaeger)  Pauline Zheng (1) (Abby Jaeger)
9/21/2013,vs Lake Forest College,L,0-3,"(4-3-0, 1-1-0 MWC)",1-1-0 MWC,127,
9/22/2013,vs Carroll University,W,1-0,"(5-3-0, 2-1-0 MWC)",2-1-0 MWC,78,Kristen Stacey (0) (Izzie Pfeiffer)
9/28/2013,vs Beloit College,W,6-0,"(6-3-0, 3-1-0 MWC)",3-1-0 MWC,73,"Patty Murphy-Geiss (0) (Claire Ruegg)  Eva Smith (0) (Kristen Stacey)  Nora Sahel (0) Hannah Safter (0) (Patty Murphy-Geiss)  Abby Jaeger (0) (Eden Marek , Patty Murphy-Geiss)  Nora Sahel (0)"
9/29/2013,at Augustana,L,0-4,(6-4-0),,156,
10/5/2013,at Knox College,W,2-0,"(7-4-0, 4-1-0 MWC)",4-1-0 MWC,50,Hannah Truesdale (1) Dabney Hofammann (2)
10/6/2013,at Illinois College,T,0-0,"(7-4-1, 4-1-1 MWC)",4-1-1 MWC,50,
10/12/2013,vs Monmouth College,W,1-0,"(8-4-1, 5-1-1 MWC)",5-1-1 MWC,0,"Nora Sahel (0) (Andie Semlow , Eva Smith)"
10/13/2013,at Coe,W,2-0,(9-4-1),,157,"Andie Semlow (1) (Maddie Gray)  Patty Murphy-Geiss (3) (Dabney Hofammann , Julia Sauerhaft)"
10/19/2013,vs Ripon College,L,0-1,"(9-5-1, 5-2-1 MWC)",5-2-1 MWC,71,
10/22/2013,vs Simpson College,W,1-0,(10-5-1),,61,"Patty Murphy-Geiss (0) (Pauline Zheng , Hannah Safter)"
10/26/2013,at Lawrence University,W,1-0,"(11-5-1, 6-2-1 MWC)",6-2-1 MWC,241,Maddie Gray (0) (Eva Smith)
10/27/2013,at St. Norbert College,L,0-1,"(11-6-1, 6-3-1 MWC)",6-3-1 MWC,120,
11/8/2013,at St. Norbert College,L,1-3,(11-7-1),,150,Patty Murphy-Geiss (8)
