Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
8/30/2013,Univ. of Dubuque,1-0,90:00,0,0.0,6,1.0,1,0,0,1,8
8/31/2013,Blackburn College,0-11,90:00,11,5.5,18,0.621,0,1,0,0,43
9/7/2013,Principia College,1-2,103:33,2,4.13,5,0.714,0,1,0,0,13
9/8/2013,Buena Vista Univ.,0-6,90:00,6,4.58,10,0.625,0,1,0,0,23
9/11/2013,Central College,1-0,90:00,0,3.69,8,1.0,1,0,0,1,18
9/17/2013,Cornell College,1-2,99:28,2,3.36,3,0.6,0,1,0,0,7
9/21/2013,Lake Forest College,3-0,90:00,0,2.89,5,1.0,1,0,0,1,7
9/22/2013,Carroll University,0-1,90:00,1,2.66,2,0.667,0,1,0,0,6
9/28/2013,Beloit College,0-6,90:00,6,3.03,7,0.538,0,1,0,0,25
9/29/2013,Augustana,4-0,90:00,0,2.73,4,1.0,1,0,0,1,9
10/5/2013,Knox College,0-2,90:00,2,2.67,13,0.867,0,1,0,0,0
10/6/2013,Illinois College,0-0,110:00,0,2.4,1,1.0,0,0,1,1,0
10/12/2013,Monmouth College,0-1,90:00,1,2.3,3,0.75,0,1,0,0,6
10/13/2013,Coe,0-2,90:00,2,2.28,6,0.75,0,1,0,0,15
10/19/2013,Ripon College,1-0,90:00,0,2.13,8,1.0,1,0,0,1,0
10/22/2013,Simpson College,0-1,90:00,1,2.06,4,0.8,0,1,0,0,10
10/26/2013,Lawrence University,0-1,90:00,1,2.0,8,0.889,0,1,0,0,17
10/27/2013,St. Norbert College,1-0,90:00,0,1.89,1,1.0,1,0,0,1,1
11/8/2013,St. Norbert College,3-1,90:00,1,1.85,2,0.667,1,0,0,0,3
Totals,,-,1752,36,1.85,114,0.76,7,11,1,7,211
Grinnell College,,-,1753:01,16,0.82,73,0.82,11,7,1,8,135
