Date,Opponent,Score,G,A,Shots,On Goal,Corners,YC,RC
8/30/2013,vs Univ. of Dubuque,0-1,0/1,0/0,8/5,6/3,3/2,0/0,0/0
8/31/2013,vs Blackburn College,11-0,11/0,7/0,43/0,29/0,12/0,0/0,0/0
9/7/2013,vs Principia College,2-1,2/1,2/0,14/17,7/8,8/2,0/0,0/0
9/8/2013,vs Buena Vista Univ.,6-0,6/0,6/0,23/2,16/1,1/3,0/0,0/0
9/11/2013,vs Central College,0-1,0/1,0/1,17/8,8/6,4/6,0/1,0/0
9/17/2013,at Cornell College,2-1,2/1,2/0,7/7,5/4,4/0,1/0,0/0
9/21/2013,vs Lake Forest College,0-3,0/3,0/4,7/10,5/6,4/4,0/3,0/0
9/22/2013,vs Carroll University,1-0,1/0,1/0,6/4,3/2,3/7,0/0,0/0
9/28/2013,vs Beloit College,6-0,6/0,5/0,25/2,13/0,12/0,0/0,0/0
9/29/2013,at Augustana,0-4,0/4,0/3,9/29,4/15,1/2,0/0,0/0
10/5/2013,at Knox College,2-0,2/0,0/0,34/1,15/0,8/0,0/0,0/0
10/6/2013,at Illinois College,0-0,0/0,0/0,5/11,1/7,1/5,0/1,0/0
10/12/2013,vs Monmouth College,1-0,1/0,2/0,6/7,4/5,4/3,0/1,0/0
10/13/2013,at Coe,2-0,2/0,3/0,15/8,8/4,2/1,0/0,0/0
10/19/2013,vs Ripon College,0-1,0/1,0/0,13/8,8/6,6/3,0/0,0/0
10/22/2013,vs Simpson College,1-0,1/0,2/0,9/7,5/3,7/2,0/1,0/0
10/26/2013,at Lawrence University,1-0,1/0,1/0,17/7,9/4,6/1,0/0,0/0
10/27/2013,at St. Norbert College,0-1,0/1,0/1,2/15,0/0,1/3,0/1,0/0
11/8/2013,at St. Norbert College,1-3,1/3,0/3,7/19,0/0,3/4,0/0,0/0
Totals,,,36/16,31/12,267/167,146/74,90/48,1/8,0/0
