0,1,2
POINTS,6,Blackburn College (8/31/2013)
GOALS,2,Blackburn College (8/31/2013) Buena Vista Univ. (9/8/2013) Beloit College (9/28/2013)
ASSISTS,2,Blackburn College (8/31/2013) Buena Vista Univ. (9/8/2013) Cornell College (9/17/2013) Beloit College (9/28/2013)
SHOTS,6,Blackburn College (8/31/2013) Knox College (10/5/2013)
SHOTS ON GOAL,5,Blackburn College (8/31/2013) Knox College (10/5/2013)
SAVES,7,Augustana (9/29/2013)
FOULS,5,Simpson College (10/22/2013)
