#,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC-RC,GW,PG-PA,Bio Link
9,"Sahel, Nora 9Sahel, Nora",9,0,242,3,0,6,4,0.75,4,1.0,1-0,1,0-0,View Bio
15,"Jaeger, Abby 15Jaeger, Abby",10,9,452,1,2,4,9,0.111,6,0.667,0-0,0,0-0,View Bio
3,"Murphy-Geiss, Patty 3Murphy-Geiss, Patty",10,10,397,1,2,4,13,0.077,7,0.538,0-0,1,0-0,View Bio
2,"Smith, Eva 2Smith, Eva",10,8,521,1,2,4,10,0.1,8,0.8,0-0,0,0-0,View Bio
7,"Stacey, Kristen 7Stacey, Kristen",10,8,463,1,1,3,19,0.053,5,0.263,0-0,1,0-0,View Bio
21,"Gray, Maddie 21Gray, Maddie",10,10,321,1,0,2,3,0.333,1,0.333,0-0,1,0-0,View Bio
25,"Hofammann, Dabney 25Hofammann, Dabney",9,0,254,1,0,2,2,0.5,1,0.5,0-0,0,0-0,View Bio
16,"Safter, Hannah 16Safter, Hannah",10,10,413,1,0,2,11,0.091,4,0.364,0-0,0,0-0,View Bio
4,"Silverman, Carolyn 4Silverman, Carolyn",8,3,272,1,0,2,4,0.25,3,0.75,0-0,0,0-0,View Bio
5,"Truesdale, Hannah 5Truesdale, Hannah",9,0,310,1,0,2,11,0.091,6,0.545,0-0,1,1-1,View Bio
11,"Zheng, Pauline 11Zheng, Pauline",10,7,414,1,0,2,9,0.111,5,0.556,0-0,1,0-0,View Bio
6,"Marek, Eden 6Marek, Eden",8,7,403,0,1,1,2,0.0,0,0.0,0-0,0,0-0,View Bio
23,"Pfeiffer, Izzie 23Pfeiffer, Izzie",4,0,71,0,1,1,0,0.0,0,0.0,0-0,0,0-0,View Bio
14,"Ruegg, Claire 14Ruegg, Claire",10,9,724,0,1,1,5,0.0,1,0.2,0-0,0,0-0,View Bio
24,"Semlow, Andie 24Semlow, Andie",5,0,159,0,1,1,0,0.0,0,0.0,0-0,0,0-0,View Bio
19,"Barnard-Mayers, Ruby 19Barnard-Mayers, Ruby",4,0,21,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
22,"Bresette-buccino, N 22Bresette-buccino, N",9,9,508,0,0,0,2,0.0,2,1.0,0-0,0,0-0,
26,"Hodo, Amanda 26Hodo, Amanda",1,0,4,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
12,"Jensen, Sarah 12Jensen, Sarah",10,3,354,0,0,0,5,0.0,3,0.6,0-0,0,0-0,View Bio
1,"Oldach, Katy 1Oldach, Katy",9,0,344,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
18,"Sauerhaft, Julia 18Sauerhaft, Julia",10,0,295,0,0,0,4,0.0,1,0.25,0-0,0,0-0,View Bio
8,"Shanahan, MacKenzie 8Shanahan, MacKenzie",9,0,324,0,0,0,2,0.0,0,0.0,0-0,0,0-0,View Bio
13,"Silverman, Elle 13Silverman, Elle",9,7,625,0,0,0,7,0.0,5,0.714,0-0,0,0-0,View Bio
10,"Sullivan, Morgan 10Sullivan, Morgan",3,0,8,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
0,"Young, Jordan 0Young, Jordan",10,10,405,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
TM,Team TMTeam,1,0,0,0,0,0,0,0.0,1,0.0,0-0,0,0-0,
,Total,10,-,8304,13,11,37,122,0.107,63,0.516,1-0,6,1-1,
,Opponent,10,-,8275,6,5,17,72,0.083,34,0.472,8-0,3,0-0,
