#,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC-RC,GW,PG-PA,Bio Link
3,"Murphy-Geiss, Patty 3Murphy-Geiss, Patty",19,19,802,8,5,21,26,0.308,16,0.615,0-0,4,1-1,View Bio
9,"Sahel, Nora 9Sahel, Nora",18,0,433,5,0,10,11,0.455,6,0.545,1-0,1,0-0,View Bio
2,"Smith, Eva 2Smith, Eva",19,12,982,3,4,10,22,0.136,14,0.636,0-0,0,0-0,View Bio
15,"Jaeger, Abby 15Jaeger, Abby",19,18,940,2,4,8,16,0.125,11,0.688,0-0,0,0-0,View Bio
25,"Hofammann, Dabney 25Hofammann, Dabney",17,0,454,2,3,7,13,0.154,8,0.615,0-0,0,0-0,View Bio
16,"Safter, Hannah 16Safter, Hannah",19,18,871,3,1,7,21,0.143,10,0.476,0-0,0,0-0,View Bio
7,"Stacey, Kristen 7Stacey, Kristen",19,12,831,3,1,7,34,0.088,14,0.412,0-0,1,0-0,View Bio
4,"Silverman, Carolyn 4Silverman, Carolyn",16,8,575,2,2,6,17,0.118,12,0.706,0-0,1,0-0,View Bio
21,"Gray, Maddie 21Gray, Maddie",19,19,830,2,1,5,14,0.143,7,0.5,0-0,1,1-1,View Bio
18,"Sauerhaft, Julia 18Sauerhaft, Julia",19,0,411,1,1,3,6,0.167,3,0.5,0-0,0,0-0,View Bio
24,"Semlow, Andie 24Semlow, Andie",13,0,443,1,1,3,5,0.2,3,0.6,0-0,1,0-0,View Bio
11,"Zheng, Pauline 11Zheng, Pauline",19,11,736,1,1,3,14,0.071,6,0.429,0-0,1,0-0,View Bio
20,"Mamantov, Maggie 20Mamantov, Maggie",4,0,55,1,0,2,2,0.5,2,1.0,0-0,0,0-0,
6,"Marek, Eden 6Marek, Eden",16,14,944,0,2,2,3,0.0,1,0.333,0-0,0,0-0,View Bio
8,"Shanahan, MacKenzie 8Shanahan, MacKenzie",18,1,635,0,2,2,10,0.0,4,0.4,0-0,0,0-0,View Bio
13,"Silverman, Elle 13Silverman, Elle",17,15,1112,1,0,2,18,0.056,10,0.556,0-0,0,0-0,View Bio
5,"Truesdale, Hannah 5Truesdale, Hannah",17,0,451,1,0,2,15,0.067,7,0.467,0-0,1,1-1,View Bio
12,"Jensen, Sarah 12Jensen, Sarah",19,8,653,0,1,1,9,0.0,5,0.556,0-0,0,0-0,View Bio
23,"Pfeiffer, Izzie 23Pfeiffer, Izzie",10,0,149,0,1,1,2,0.0,1,0.5,0-0,0,0-0,View Bio
14,"Ruegg, Claire 14Ruegg, Claire",19,18,1337,0,1,1,6,0.0,1,0.167,0-0,0,0-0,View Bio
19,"Barnard-Mayers, Ruby 19Barnard-Mayers, Ruby",6,0,73,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
22,"Bresette-buccino, N 22Bresette-buccino, N",17,17,1114,0,0,0,3,0.0,3,1.0,0-0,0,0-0,
26,"Hodo, Amanda 26Hodo, Amanda",6,0,79,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
30,"Manley, Devon 30Manley, Devon",1,0,26,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
1,"Oldach, Katy 1Oldach, Katy",17,0,647,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
10,"Sullivan, Morgan 10Sullivan, Morgan",4,0,8,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
0,"Young, Jordan 0Young, Jordan",19,19,810,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
TM,Team TMTeam,2,0,0,0,0,0,0,0.0,2,0.0,0-0,0,0-0,
,Total,19,-,16401,36,31,103,267,0.135,146,0.547,1-0,11,3-3,
,Opponent,19,-,16381,16,12,44,167,0.096,74,0.443,8-0,7,1-1,
