Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
8/30/2013,vs Univ. of Dubuque,0-1,0,0,0,8,0.0,6,0.75,0-0,0,0-0,1012
8/31/2013,vs Blackburn College,11-0,11,7,29,43,0.256,29,0.674,0-0,1,0-0,990
9/7/2013,vs Principia College,2-1,2,2,6,14,0.143,7,0.5,0-0,1,1-1,1120
9/8/2013,vs Buena Vista Univ.,6-0,6,6,18,23,0.261,16,0.696,0-0,1,0-0,1022
9/11/2013,vs Central College,0-1,0,0,0,17,0.0,8,0.471,0-0,0,0-0,1001
9/17/2013,at Cornell College,2-1,2,2,6,7,0.286,5,0.714,1-0,1,0-0,1101
9/21/2013,vs Lake Forest College,0-3,0,0,0,7,0.0,5,0.714,0-0,0,0-0,1029
9/22/2013,vs Carroll University,1-0,1,1,3,6,0.167,3,0.5,0-0,1,0-0,990
9/28/2013,vs Beloit College,6-0,6,5,17,25,0.24,13,0.52,0-0,1,0-0,989
9/29/2013,at Augustana,0-4,0,0,0,9,0.0,4,0.444,0-0,0,0-0,973
10/5/2013,at Knox College,2-0,2,0,4,34,0.059,15,0.441,0-0,1,1-1,0
10/6/2013,at Illinois College,0-0,0,0,0,5,0.0,1,0.2,0-0,0,0-0,1208
10/12/2013,vs Monmouth College,1-0,1,2,4,6,0.167,4,0.667,0-0,1,0-0,1014
10/13/2013,at Coe,2-0,2,3,7,15,0.133,8,0.533,0-0,1,0-0,990
10/19/2013,vs Ripon College,0-1,0,0,0,13,0.0,8,0.615,0-0,0,0-0,991
10/22/2013,vs Simpson College,1-0,1,2,4,9,0.111,5,0.556,0-0,1,0-0,989
10/26/2013,at Lawrence University,1-0,1,1,3,17,0.059,9,0.529,0-0,1,0-0,982
10/27/2013,at St. Norbert College,0-1,0,0,0,2,0.0,0,0.0,0-0,0,0-0,0
11/8/2013,at St. Norbert College,1-3,1,0,2,7,0.143,0,0.0,0-0,0,1-1,0
Total,,36-16,36,31,103,267,0.135,146,0.547,1-0,11,3-3,16401
Opponent,,-,16,12,44,167,0.096,74,0.443,8-0,7,-,16381
