Statistic,Grinnell College,Opponents OPP
Shots,Shots,Shots
Goals G,36,16
Goals Per Game G/AVG,1.89,0.84
Shots SH,267,167
Shots Per Game SH/AVG,14.1,8.8
Shots Percentage SH%,0.135,0.096
Shots On Goal SOG,146-267,74-167
Shots On Goal Percentage SOG%,0.547,0.443
Penalties,Penalties,Penalties
Yellow Cards YC,1,8
Red Cards RC,0,0
Miscellaneous,Miscellaneous,Miscellaneous
Assists A,31,12
Saves S,62,111
Fouls F,95,99
Corner Kicks CK,90,48
Penalty Kicks: Goals-Attempts PG-PA,3-3,1-1
