0,1,2
POINTS,2,St. Norbert College (11/8/2013)
GOALS,1,Carroll University (9/22/2013) Monmouth College (10/12/2013) Simpson College (10/22/2013) Lawrence University (10/26/2013) St. Norbert College (11/8/2013)
ASSISTS,1,Carroll University (9/22/2013) Lawrence University (10/26/2013)
SHOTS,2,Illinois College (10/6/2013) St. Norbert College (10/27/2013)
SHOTS ON GOAL,1,Illinois College (10/6/2013)
SAVES,1,Buena Vista Univ. (9/8/2013)
FOULS,1,Ripon College (10/19/2013)
CORNER KICKS,1,Buena Vista Univ. (9/8/2013) Augustana (9/29/2013) Illinois College (10/6/2013) Coe (10/13/2013) St. Norbert College (10/27/2013)
