Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
8/30/2013,Univ. of Dubuque,0-1,90:00,1,1.0,2,0.667,0,1,0,0,4
8/31/2013,Blackburn College,11-0,90:00,0,0.5,0,0.0,1,0,0,1,0
9/7/2013,Principia College,2-1,103:33,1,0.63,7,0.875,1,0,0,0,17
9/8/2013,Buena Vista Univ.,6-0,90:00,0,0.48,1,1.0,1,0,0,1,3
9/11/2013,Central College,0-1,90:00,1,0.58,5,0.833,0,1,0,0,9
9/17/2013,Cornell College,2-1,99:28,1,0.64,3,0.75,1,0,0,0,7
9/21/2013,Lake Forest College,0-3,90:00,3,0.96,3,0.5,0,1,0,0,12
9/22/2013,Carroll University,1-0,90:00,0,0.85,2,1.0,1,0,0,1,5
9/28/2013,Beloit College,6-0,90:00,0,0.76,0,0.0,1,0,0,1,2
9/29/2013,Augustana,0-4,90:00,4,1.07,11,0.733,0,1,0,0,29
10/5/2013,Knox College,2-0,90:00,0,0.98,0,0.0,1,0,0,1,0
10/6/2013,Illinois College,0-0,110:00,0,0.88,7,1.0,0,0,1,1,0
10/12/2013,Monmouth College,1-0,90:00,0,0.82,5,1.0,1,0,0,1,9
10/13/2013,Coe,2-0,90:00,0,0.76,4,1.0,1,0,0,1,8
10/19/2013,Ripon College,0-1,90:00,1,0.78,5,0.833,0,1,0,0,0
10/22/2013,Simpson College,1-0,90:00,0,0.73,3,1.0,1,0,0,1,8
10/26/2013,Lawrence University,1-0,90:00,0,0.69,4,1.0,1,0,0,1,7
10/27/2013,St. Norbert College,0-1,90:00,1,0.7,5,0.833,0,1,0,0,6
11/8/2013,St. Norbert College,1-3,90:00,3,0.82,6,0.667,0,1,0,0,9
Totals,,-,1752,16,0.82,73,0.82,11,7,1,10,135
Opponent,,-,1753:01,36,1.85,114,0.76,7,11,1,5,211
