Statistic,High,Opponent
POINTS,29,Blackburn College (8/31/2013)
GOALS,11,Blackburn College (8/31/2013)
ASSISTS,7,Blackburn College (8/31/2013)
SHOTS,43,Blackburn College (8/31/2013)
SHOTS ON GOAL,29,Blackburn College (8/31/2013)
SAVES,11,Augustana (9/29/2013)
FOULS,14,Lawrence University (10/26/2013)
CORNER KICKS,12,Blackburn College (8/31/2013) Beloit College (9/28/2013)
