Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
8/30/2013,Univ. of Dubuque,1-0,1,0,2,5,0.2,3,0.6,0-0,1,1-1,1038
8/31/2013,Blackburn College,0-11,0,0,0,0,0.0,0,0.0,0-0,0,0-0,972
9/7/2013,Principia College,1-2,1,0,2,17,0.059,8,0.471,0-0,0,0-0,1115
9/8/2013,Buena Vista Univ.,0-6,0,0,0,2,0.0,1,0.5,0-0,0,0-0,967
9/11/2013,Central College,1-0,1,1,3,8,0.125,6,0.75,1-0,1,0-0,1035
9/17/2013,Cornell College,1-2,1,0,2,7,0.143,4,0.571,0-0,0,0-0,1045
9/21/2013,Lake Forest College,3-0,3,4,10,10,0.3,6,0.6,3-0,1,0-0,997
9/22/2013,Carroll University,0-1,0,0,0,4,0.0,2,0.5,0-0,0,0-0,1008
9/28/2013,Beloit College,0-6,0,0,0,2,0.0,0,0.0,0-0,0,0-0,990
9/29/2013,Augustana,4-0,4,3,11,29,0.138,15,0.517,0-0,1,0-0,999
10/5/2013,Knox College,0-2,0,0,0,1,0.0,0,0.0,0-0,0,0-0,0
10/6/2013,Illinois College,0-0,0,0,0,11,0.0,7,0.636,1-0,0,0-0,1211
10/12/2013,Monmouth College,0-1,0,0,0,7,0.0,5,0.714,1-0,0,0-0,1023
10/13/2013,Coe,0-2,0,0,0,8,0.0,4,0.5,0-0,0,0-0,990
10/19/2013,Ripon College,1-0,1,0,2,8,0.125,6,0.75,0-0,1,0-0,988
10/22/2013,Simpson College,0-1,0,0,0,7,0.0,3,0.429,1-0,0,0-0,990
10/26/2013,Lawrence University,0-1,0,0,0,7,0.0,4,0.571,0-0,0,0-0,1013
10/27/2013,St. Norbert College,1-0,1,1,3,15,0.067,0,0.0,1-0,1,0-0,0
11/8/2013,St. Norbert College,3-1,3,3,9,19,0.158,0,0.0,0-0,1,0-0,0
Total,,16-36,16,12,44,167,0.096,74,0.443,8-0,7,1-1,16381
Grinnell College,,-,36,31,103,267,0.135,146,0.547,1-0,11,-,16401
