0,1,2
POINTS,11,Augustana (9/29/2013)
GOALS,4,Augustana (9/29/2013)
ASSISTS,4,Lake Forest College (9/21/2013)
SHOTS,29,Augustana (9/29/2013)
SHOTS ON GOAL,15,Augustana (9/29/2013)
SAVES,18,Blackburn College (8/31/2013)
FOULS,15,Carroll University (9/22/2013)
CORNER KICKS,7,Carroll University (9/22/2013)
