0,1,2,3
Grinnell College,349,61,5th
Ian Strawn,82,10,t-13th
Sam Naik,84,12,t-19th
Brody Barton,90,18,t-29th
James Lim,93,21,t-31st
Jake Heinrich,106,34,41st
