0,1,2,3,4
Grinnell College,371,357,dnc,728
Ian Strawn,85,89,wd,174
Sam Naik,95,85,wd,180
Brody Barton,91,91,wd,182
James Lim,100,92,wd,192
Jake Heinrich,106,116,wd,222
