0,1,2,3
Grinnell College,355,75,2nd
Brody Barton,86,16,t-6th
Sam Naik,86,16,t-6th
Ian Strawn,90,20,t-11th
James Lim,93,23,13th
Jake Heinrich,99,29,14th
